point_index,x,x_rot,x_0,x_0_rot,x_proj,y,y_rot,y_0,y_0_rot,y_proj,z,z_rot,z_0,z_0_rot,z_proj,u,u_rot,v,v_rot,w,w_rot,Crosshead,Force,g,h,Element
5,-33.9664,6.243693279299279,-33.556273,13.968738575853507,13.968738575853507,204.319,-8.877777375416631,206.10237999999998,-8.459013324878153,-6.0,-47.3683,401.4347140132803,-39.6355,403.24941820564015,403.24941820564015,-0.410127,-7.725045296554229,-1.78338,-0.4187640505384803,-7.7328,-1.8147041923598308,-4.46114,-8.07793,0.02874165737400376,0.2997672822560617,248.0
6,-33.9626,6.029836258048107,-33.516351,13.845665860098222,13.845665860098222,201.769,-8.887134796399042,203.55661,-8.43223407829505,-6.0,-47.5932,398.88377846483894,-39.769600000000004,400.7029191266377,400.7029191266377,-0.446249,-7.815829602050117,-1.78761,-0.45490071810398913,-7.8236,-1.8191406617987773,-4.46114,-8.07793,-0.015564165851313011,-0.7188323493449161,248.0
7,-33.8508,5.665917017319856,-33.391493,13.598662282014466,13.598662282014466,199.213,-8.788513575555957,200.98548,-8.320641824006604,-6.0,-47.9682,396.32563519621846,-40.027750000000005,398.13008471099363,398.13008471099363,-0.459307,-7.932745264694609,-1.77248,-0.46787175154934885,-7.94045,-1.8044495147752184,-4.46114,-8.07793,-0.10448474259685132,0.2520338843974514,247.0
8,-33.7217,5.277542967595181,-33.246279,13.319304045347707,13.319304045347707,196.647,-8.67264243958461,198.40671,-8.188730920516722,-6.0,-48.3677,393.7572966986028,-40.31829,395.54936506173266,395.54936506173266,-0.475421,-8.041761077752524,-1.75971,-0.4839115190678907,-8.04941,-1.7920683631298955,-4.46114,-8.07793,-0.20505290325159947,-0.7802539753069369,247.0
9,-33.6009,4.89784638947004,-33.115737,13.059987324378184,13.059987324378184,194.086,-8.565046003766124,195.82953,-8.071485086996855,-6.0,-48.7585,391.19403863576423,-40.58878,392.97039798778053,392.97039798778053,-0.485163,-8.162140934908145,-1.74353,-0.4935609167692678,-8.16972,-1.7763593520163132,-4.46114,-8.07793,-0.2984061759744458,0.18815919511221182,246.0
10,-33.5095,4.561537915209499,-33.005087,12.835876883225417,12.835876883225417,191.527,-8.486842046959449,193.25731,-7.974107964129129,-6.0,-49.1059,388.6331203287764,-40.82404,390.396646108656,390.396646108656,-0.504413,-8.274338968015917,-1.73031,-0.5127340828303233,-8.28186,-1.7635257798795525,-4.46114,-8.07793,-0.37908528935653496,-0.8413415565375999,246.0
11,-33.4498,4.2721519274459325,-32.916757000000004,12.645951503602667,12.645951503602667,188.962,-8.44037212696325,190.68796999999998,-7.8990381892845285,-6.0,-49.4064,386.0665689960305,-41.025099999999995,387.8260375544454,387.8260375544454,-0.533043,-8.37379957615673,-1.72597,-0.54133393767872,-8.3813,-1.759468558414894,-4.46114,-8.07793,-0.44745787904000744,0.13041502177816255,245.0
12,-33.4262,4.032988389954262,-32.873784,12.522141823385972,12.522141823385972,186.414,-8.42991761196372,188.13001999999997,-7.86927085021226,-6.0,-49.6566,383.5174215673052,-41.15998999999999,385.26733957015836,385.26733957015836,-0.552416,-8.48915343343171,-1.71602,-0.560646761751457,-8.49661,-1.749918002853185,-4.46114,-8.07793,-0.4920290073489912,-0.8930641719366577,245.0
13,-33.4641,3.894948709574919,-32.895065,12.49956590601844,12.49956590601844,183.882,-8.480887086870393,185.59034,-7.903669745715661,-6.0,-49.8056,380.98502967832485,-41.19356,382.72768182054995,382.72768182054995,-0.569035,-8.604617196443517,-1.70834,-0.5772173411547225,-8.61204,-1.7426521422251289,-4.46114,-8.07793,-0.5001562725831811,0.09107272821997868,244.0
14,-33.5708,3.8575624960176285,-32.98111,12.571532987597571,12.571532987597571,181.359,-8.60061658115421,183.0668,-8.002755378490402,-6.0,-49.8539,378.46242903407665,-41.13251,380.2049079773026,380.2049079773026,-0.58969,-8.713970491579945,-1.7078,-0.5978612026638073,-8.72139,-1.7424789432259755,-4.46114,-8.07793,-0.4742483304782305,-0.9180368090789671,244.0
