point_index,x,x_rot,x_0,x_0_rot,x_proj,y,y_rot,y_0,y_0_rot,y_proj,z,z_rot,z_0,z_0_rot,z_proj,u,u_rot,v,v_rot,w,w_rot,Crosshead,Force,g,h,Element
0,-33.6087,9.493963372952393,-33.6087,9.493963372952393,9.493963372952393,205.574,-8.513838846719853,205.574,-8.513838846719853,-6.0,-44.1126,402.70193499661593,-44.1126,402.70193499661593,402.70193499661593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4178291841845772,0.08077399864637301,164.0
1,-33.3099,8.925160099149089,-33.3099,8.925160099149089,8.925160099149089,200.409,-8.241682944724861,200.409,-8.241682944724861,-6.0,-44.7038,397.5329487985746,-44.7038,397.5329487985746,397.5329487985746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21305943226008228,0.013179519429831999,163.0
2,-33.097,8.483582419050755,-33.097,8.483582419050755,8.483582419050755,195.259,-8.055357799998365,195.259,-8.055357799998365,-6.0,-45.1677,392.37995722501137,-45.1677,392.37995722501137,392.37995722501137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054091022313134285,-0.048017109995453215,162.0
3,-32.9875,8.197198078270858,-32.9875,8.197198078270858,8.197198078270858,190.131,-7.972329082184064,190.131,-7.972329082184064,-6.0,-45.4763,387.25017176138357,-45.4763,387.25017176138357,387.25017176138357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04900762904385232,-0.09993129544657223,161.0
4,-33.0151,8.119960030351805,-33.0151,8.119960030351805,8.119960030351805,185.035,-8.026248665330112,185.035,-8.026248665330112,-6.0,-45.5756,382.1540000936893,-45.5756,382.1540000936893,382.1540000936893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07681340415088173,-0.13839996252427228,160.0
5,-33.5562,13.968735898520222,-33.5562,13.968735898520222,13.968735898520222,206.103,-8.458937122768976,206.103,-8.458937122768976,-6.0,-39.6355,403.2500378144499,-39.6355,403.2500378144499,403.2500378144499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028740693541731872,0.30001512577996436,248.0
6,-33.5163,13.845664176457973,-33.5163,13.845664176457973,13.845664176457973,203.557,-8.432181064132916,203.557,-8.432181064132916,-6.0,-39.7696,400.7033088543203,-39.7696,400.7033088543203,400.7033088543203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015564771956953964,-0.7186764582718752,248.0
7,-33.3915,13.598710029475107,-33.3915,13.598710029475107,13.598710029475107,200.986,-8.320646141147076,200.986,-8.320646141147076,-6.0,-40.0277,398.1306049518483,-40.0277,398.1306049518483,398.1306049518483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10446755364853205,0.2522419807393135,247.0
8,-33.2463,13.319292787836005,-33.2463,13.319292787836005,13.319292787836005,198.407,-8.188750421281444,198.407,-8.188750421281444,-6.0,-40.3183,395.5496551203304,-40.3183,395.5496551203304,395.5496551203304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20505695592339063,-0.780137951867846,247.0
9,-33.1157,13.059965293211036,-33.1157,13.059965293211036,13.059965293211036,195.83,-8.071445657870125,195.83,-8.071445657870125,-6.0,-40.5888,392.9708676993681,-40.5888,392.9708676993681,392.9708676993681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29841410713116995,0.18834707974724552,246.0
