point_index,x,x_rot,x_0,x_0_rot,x_proj,y,y_rot,y_0,y_0_rot,y_proj,z,z_rot,z_0,z_0_rot,z_proj,u,u_rot,v,v_rot,w,w_rot,Crosshead,Force,g,h,Element
10,-33.3718,12.830870181927473,-33.005101,12.835868101090092,12.835868101090092,192.313,-8.345693954108736,193.256712,-7.974125052528816,-6.0,-40.8331,389.4542127244996,-40.82405137,390.3960481453261,390.3960481453261,-0.366699,-0.00499791916262095,-0.943712,-0.3715689015799266,-0.00904863,-0.9418354208264722,-2.36547,-138.022,-0.3790884508999595,-0.8415807418695522,246.0
11,-33.2989,12.639775879013598,-32.916795,12.64592725867282,12.64592725867282,189.75,-8.286021134973804,190.688557,-7.899073154578019,-6.0,-41.0353,386.8900187998425,-41.0251217,387.8266246434572,387.8266246434572,-0.382105,-0.006151379659223744,-0.938557,-0.3869479803957791,-0.0101783,-0.9366058436146465,-2.36547,-138.022,-0.4474666071449275,0.1306498573828776,245.0
12,-33.271,12.513429011296594,-32.873751,12.522106694344792,12.522106694344792,187.198,-8.27129567007832,188.130143,-7.869237212647956,-6.0,-41.1727,384.33733767757997,-41.1600246,385.267462247071,385.267462247071,-0.397249,-0.008677683048201035,-0.932143,-0.4020584574303654,-0.0126754,-0.930124569491037,-2.36547,-138.022,-0.49204165370264513,-0.8930151011715908,245.0
13,-33.3098,12.49099681488461,-32.894977000000004,12.499581115622078,12.499581115622078,184.664,-8.323183999847412,185.58969299999998,-7.903585090379007,-6.0,-41.2061,381.8034510364285,-41.1935476,382.7270344343366,382.7270344343366,-0.414823,-0.008584300737468204,-0.925693,-0.41959890946840667,-0.0125524,-0.9235833979080963,-2.36547,-138.022,-0.5001507971696745,0.09081377373463512,244.0
14,-33.4148,12.565188065836253,-32.98119,12.571486544447545,12.571486544447545,182.146,-8.441195924551426,183.06673899999998,-8.002835689116704,-6.0,-41.1428,379.2863247295364,-41.1325567,380.2048471897465,380.2048471897465,-0.43361,-0.006298478611294318,-0.920739,-0.43836023543471125,-0.0102433,-0.9185224602101218,-2.36547,-138.022,-0.4742650498784847,-0.918061124101405,244.0
15,-33.5978,18.129387844115953,-33.30688,18.116128645620158,18.116128645620158,205.596,-8.503462871069924,206.574761,-8.207489549203974,-6.0,-35.477,402.7612707179751,-35.486049619999996,403.73846744310106,403.73846744310106,-0.29092,0.013259198495797882,-0.978761,-0.2959733218659531,0.00904962,-0.977196725125908,-2.36547,-138.022,-0.4782004695814387,0.49538697724042324,332.0
16,-33.4374,12.510214019710645,-32.988642999999996,12.51881683184768,12.51881683184768,179.599,-8.476949225303269,180.51796099999999,-8.02345154716738,-6.0,-41.2088,376.73921353664616,-41.1962615,377.65588972771843,377.65588972771843,-0.448757,-0.00860281213703789,-0.918961,-0.4534976781358931,-0.0125385,-0.9166761910722704,-2.36547,-138.022,-0.49322599472687745,0.062355891087372585,243.0
17,-33.651,18.130563117541236,-33.350844,18.122603810010943,18.122603810010943,203.083,-8.569644266718466,204.056894,-8.264460602029626,-6.0,-35.4867,400.248560610881,-35.490471639999996,401.2208655882009,401.2208655882009,-0.300156,0.007959307530297628,-0.973894,-0.30518366468884167,0.00377164,-0.9723049773198716,-2.36547,-138.022,-0.47586938708993104,-0.511653764719631,332.0
18,-32.3707,5.355711329783119,-31.787698,5.426103968255916,5.426103968255916,147.858,-7.573707510224434,148.722108,-6.986254552832001,-5.2953894722053425,-48.5009,344.96184877816864,-48.4268215,345.8232461900755,345.90778944410687,-0.583002,-0.07039263847279474,-0.864108,-0.5874529573924293,-0.0740785,-0.8613974119068848,-2.36547,-138.022,0.979736873369359,-0.6368842223572528,69.0
19,-33.1862,11.9744578114057,-32.710304,11.99125305653562,11.99125305653562,174.422,-8.252457119227191,175.330406,-7.771875934613465,-6.0,-41.767,371.5586163992417,-41.7463173,372.4646328974951,372.4646328974951,-0.475896,-0.016795245129916328,-0.908406,-0.48058118461373184,-0.0206827,-0.9060164982534104,-2.36547,-138.022,-0.6831474344677013,-0.014146841001957,242.0
20,-33.1535,11.842293723512718,-32.662307,11.85895523359693,11.85895523359693,171.851,-8.233029441862701,172.76017,-7.7371475047223335,-6.0,-41.9103,368.98688536489414,-41.8897492,369.89358625194785,369.89358625194785,-0.491193,-0.016661510084213495,-0.90917,-0.495881937140365,-0.0205508,-0.9067008870537343,-2.36547,-138.022,-0.7307742697109475,0.9574345007791408,241.0
21,-33.1286,11.722002795575882,-32.624565,11.743135907033171,11.743135907033171,169.286,-8.221371541307523,170.191311,-7.712668041041436,-6.0,-42.0417,366.42124601580747,-42.0166955,367.324040934773,367.324040934773,-0.504035,-0.021133111457286587,-0.905311,-0.5087035002660822,-0.0250045,-0.9027949189655243,-2.36547,-138.022,-0.7724688937169087,-0.07038362609080195,241.0
22,-33.0958,11.591712721773561,-32.579732,11.618529970488858,11.618529970488858,166.721,-8.201813007963114,167.619051,-7.6811145926715625,-6.0,-42.1831,363.8555225556979,-42.1524439,364.7510199499799,364.7510199499799,-0.516068,-0.026817248715294784,-0.898051,-0.5206984152915615,-0.0306561,-0.8954973942819353,-2.36547,-138.022,-0.8173266720106351,0.900407979991951,240.0
23,-33.1011,11.518996792371922,-32.573148,11.54915850224451,11.54915850224451,164.161,-8.220332387017404,165.055552,-7.687768452862532,-6.0,-42.2669,361.2952452132364,-42.2329157,362.1871967067188,362.1871967067188,-0.527952,-0.030161709872582446,-0.894552,-0.5325639341548806,-0.0339843,-0.8919514934823948,-2.36547,-138.022,-0.8423002007903704,-0.12512131731248247,240.0
24,-33.1142,11.462375631402587,-32.578185,11.49710188183893,11.49710188183893,161.602,-8.246647684273807,162.494356,-7.70603253911618,-5.985803096417273,-42.3346,358.73607785576803,-42.2960614,359.6258114668178,359.71182293895276,-0.536015,-0.03472625043633924,-0.892356,-0.5406151451576271,-0.0385386,-0.8897336110497341,-2.36547,-138.022,-0.8617633685328199,0.8847334039994523,239.0
25,-33.0347,11.275494494534364,-32.49277,11.312826076661011,11.312826076661011,159.013,-8.180509578817787,159.903696,-7.633988280404452,-5.856359220327301,-42.5327,356.14586817981944,-42.4915638,357.0339225200123,357.1228039730162,-0.54193,-0.037331582126652926,-0.890696,-0.5465212984133332,-0.0411362,-0.8880543401928888,-2.36547,-138.022,-0.9152905081538564,-0.15087404128377435,239.0
26,-33.3316,22.246883037581796,-33.055411,22.239088121196588,22.239088121196588,206.056,-8.235194072177602,207.04443600000002,-7.953901976635059,-6.0,-31.3575,403.2377227269127,-31.361041980000003,404.22469417946934,404.22469417946934,-0.276189,0.007794916385207251,-0.988436,-0.28129209554253476,0.00354198,-0.9869714525566434,-2.36547,-138.022,-0.9939203250066286,0.6898776717877354,416.0
27,-32.6167,10.507728866697107,-32.07262,10.562945469331446,10.562945469331446,153.75,-7.789646841195179,154.633494,-7.241014097007199,-5.592089398948697,-43.3233,350.8774050216451,-43.26431,351.75832372645584,351.8407699613588,-0.54408,-0.055216602634333714,-0.883494,-0.5486327441879824,-0.05899,-0.8809187048107504,-2.36547,-138.022,0.8333821582963736,-0.2636909999775726,154.0
28,-33.3782,22.252745912829397,-33.092778,22.244486048237036,22.244486048237036,203.546,-8.294760404137701,204.53006399999998,-8.00425798298743,-6.0,-31.3625,400.72799880798186,-31.366526750000002,401.7105485640271,401.7105485640271,-0.285422,0.008259864592354733,-0.984064,-0.29050242115028485,0.00402675,-0.9825497560452499,-2.36547,-138.022,-0.9919770868179728,-0.3157805743891686,416.0
