point_index,x,x_rot,x_0,x_0_rot,x_proj,y,y_rot,y_0,y_0_rot,y_proj,z,z_rot,z_0,z_0_rot,z_proj,u,u_rot,v,v_rot,w,w_rot,Crosshead,Force,g,h,Element
0,-34.0051,9.348946365799641,-33.608703,9.493980450733396,9.493980450733396,203.791,-8.919433730053004,205.57352,-8.51384432759404,-6.0,-44.2653,400.92036205100567,-44.112585,402.7014550879648,402.7014550879648,-0.396397,-0.14503408493375602,-1.78252,-0.4055894024589731,-0.152715,-1.7810930369591467,-3.45522,-284.593,0.41783533220295266,0.0805820351859211,164.0
1,-33.7822,8.763932031695695,-33.30986600000001,8.925140319088449,8.925140319088449,198.65,-8.723051635734105,200.40895,-8.241649202015498,-6.0,-44.8726,395.7756976857637,-44.70382,397.53289853746867,397.53289853746867,-0.472334,-0.16120828739275603,-1.75895,-0.48140243371860747,-0.16878,-1.7572008517049629,-3.45522,-284.593,0.2130523114183135,0.013159414987467245,163.0
2,-33.6538,8.308633781243635,-33.096987999999996,8.483568125626988,8.483568125626988,193.526,-8.62109003589919,195.25953,-8.055343061152609,-6.0,-45.3501,390.6490831514004,-45.167711999999995,392.3804870990241,392.3804870990241,-0.556812,-0.1749343443833471,-1.73353,-0.5657469747465838,-0.182388,-1.73140394762368,-3.45522,-284.593,0.05408587666617026,-0.04780516039036229,162.0
3,-33.6434,8.010936102238333,-32.987528,8.197259936742853,8.197259936742853,188.422,-8.637035177757713,190.13057,-7.972359307733445,-6.0,-45.6699,385.5437605865844,-45.47624,387.24974217559634,387.24974217559634,-0.655872,-0.18632383450451834,-1.70857,-0.6646758700242594,-0.19366,-1.7059815890119752,-3.45522,-284.593,-0.0489853599315808,-0.10010312976146452,161.0
4,-33.7782,7.925275250372451,-33.01513,8.119951169982457,8.119951169982457,183.352,-8.798018393998422,185.03566,-8.026275254752196,-6.0,-45.7775,380.47410617317183,-45.575606,382.1546602076978,382.1546602076978,-0.76307,-0.19467591961000813,-1.68366,-0.771743139246215,-0.201894,-1.6805540345259595,-3.45522,-284.593,-0.07681659389277845,-0.13813591692087357,160.0
5,-33.9181,13.832321711064552,-33.556179,13.968712991530296,13.968712991530296,204.297,-8.83015191833034,206.10321,-8.458915036509676,-6.0,-39.7797,401.44532397310536,-39.635522,403.2502476059361,403.2502476059361,-0.361921,-0.1363912804657538,-1.80621,-0.37123688182065895,-0.144178,-1.8049236328308162,-3.45522,-284.593,0.028732447091330028,0.30009904237444973,248.0
6,-33.9108,13.697712324422199,-33.51634,13.845713376085278,13.845713376085278,201.759,-8.835953245317892,203.55625999999998,-8.432224890030422,-6.0,-39.9253,398.90671344401505,-39.769554,400.7025692769431,400.7025692769431,-0.39446,-0.14800105166308072,-1.79726,-0.40372835528747186,-0.155746,-1.7958558329281267,-3.45522,-284.593,-0.015547060232817761,-0.7189722892227565,248.0
7,-33.8209,13.442002946812366,-33.391519,13.598741936572665,13.598741936572665,199.2,-8.759255218904723,200.98578999999998,-8.320666228097512,-6.0,-40.1921,396.34615188743004,-40.027669,398.13039518900064,398.13039518900064,-0.429381,-0.1567389897602959,-1.78579,-0.4385889908072117,-0.164431,-1.784243301570601,-3.45522,-284.593,-0.10445606718530293,0.252158075600255,247.0
8,-33.7133,13.157430180910296,-33.246216,13.31929040208967,13.31929040208967,196.633,-8.664896625338482,198.40686000000002,-8.188667145458478,-6.0,-40.4878,393.77737393787834,-40.318303,395.54951467658424,395.54951467658424,-0.467084,-0.16186022117937446,-1.77386,-0.4762294798800071,-0.169497,-1.772140738705894,-3.45522,-284.593,-0.20505781478520024,-0.780194129366305,247.0
9,-33.6193,12.887047313783164,-33.11574,13.05998960057196,13.05998960057196,194.068,-8.584128566001308,195.83039000000002,-8.071483644412499,-6.0,-40.7693,391.2107276857255,-40.588774,392.97125800972844,392.97125800972844,-0.50356,-0.17294228678879095,-1.76239,-0.5126449215888035,-0.180526,-1.7605303240029813,-3.45522,-284.593,-0.2984053565512419,0.18850320389137779,246.0
10,-33.5516,12.65994852006827,-33.00512,12.835848261626118,12.835848261626118,191.506,-8.5296478534185,193.25676,-7.974143802845237,-6.0,-41.0075,388.64740471943077,-40.824071,390.39609615738937,390.39609615738937,-0.54648,-0.17589974155785582,-1.75076,-0.5555040505732587,-0.183429,-1.7486914379585694,-3.45522,-284.593,-0.3790955930498529,-0.8415615370442538,246.0
11,-33.5059,12.463125676630284,-32.916774,12.645975198668864,12.645975198668864,188.949,-8.497143252727493,190.68804,-7.899054829190888,-6.0,-41.2154,386.08932648964725,-41.025076000000006,387.82610774459704,387.82610774459704,-0.589126,-0.18284952203858348,-1.73904,-0.5980884235366025,-0.190324,-1.736781254949843,-3.45522,-284.593,-0.4474493488844177,0.13044309783881544,245.0
12,-33.5089,12.335045545182822,-32.873788999999995,12.52212851995499,12.52212851995499,186.404,-8.513281085917615,188.13009,-7.869275487547256,-6.0,-41.3545,383.54379747354216,-41.160003,385.26740953810764,385.26740953810764,-0.635111,-0.1870829747721667,-1.72609,-0.6440055983703529,-0.194497,-1.7236120645654678,-3.45522,-284.593,-0.49203379654583135,-0.893036184756943,245.0
13,-33.5777,12.307180206462888,-32.895009,12.499532820942932,12.499532820942932,183.877,-8.595132452630327,185.59013000000002,-7.903614828868733,-6.0,-41.3933,381.01704226807806,-41.193594000000004,382.7274713888073,382.7274713888073,-0.682691,-0.19235261448003985,-1.71313,-0.6915176237615989,-0.199706,-1.7104291207291995,-3.45522,-284.593,-0.5001681831150796,0.09098855552292662,244.0
14,-33.7143,12.378742464427667,-32.981100000000005,12.571474820102736,12.571474820102736,181.365,-8.744712765894274,183.06707,-8.002743979524457,-6.0,-41.3326,378.50606780914046,-41.132567,380.20517767269956,380.20517767269956,-0.7332,-0.19273235567507105,-1.70207,-0.7419687863698151,-0.200033,-1.6991098635591113,-3.45522,-284.593,-0.47426927060885005,-0.917928930920175,244.0
15,-33.6344,17.985187529240655,-33.306815,18.116115193917693,18.116115193917693,204.741,-8.544468619393758,206.57501000000002,-8.207423262758052,-6.0,-35.6249,401.9058387927646,-35.486062,403.7387160480572,403.7387160480572,-0.327585,-0.13092766467703484,-1.83401,-0.33704535663570573,-0.138838,-1.83287725529262,-3.45522,-284.593,-0.47820531224275264,0.4954864192228797,332.0
16,-33.7679,12.320243821115348,-32.988583999999996,12.518829397574912,12.518829397574912,178.823,-8.811439563037272,180.51864,-8.023389041205998,-6.0,-41.4021,375.96410149033665,-41.196245999999995,377.6565684746266,377.6565684746266,-0.779316,-0.19858557645956024,-1.69564,-0.7880505218312742,-0.205854,-1.6924669842899722,-3.45522,-284.593,-0.4932214711012629,0.06262738985064971,243.0
17,-33.7077,17.98113061082838,-33.350894000000004,18.122532467372743,18.122532467372743,202.235,-8.630713198930483,204.05712000000003,-8.26450942859189,-6.0,-35.6398,399.4002098449925,-35.490542,401.22109153670146,401.22109153670146,-0.356806,-0.14140185654435655,-1.82212,-0.36620377033858825,-0.149258,-1.8208816917089798,-3.45522,-284.593,-0.4758950706965193,-0.511563385319414,332.0
18,-33.0283,5.069968106470853,-31.787730000000003,5.426150893222278,5.426150893222278,147.138,-8.234997119467966,148.72224,-6.98628587396464,-5.2953961522075765,-48.7897,344.24401170562356,-48.426774,345.82337855806367,345.9079230441515,-1.24057,-0.3561827867514269,-1.58424,-1.2487112455033318,-0.362926,-1.5793668524401099,-3.45522,-284.593,0.9797538448939688,-0.6368307823393934,69.0
19,-33.5738,11.770547613996968,-32.710277,11.991187433206584,11.991187433206584,173.654,-8.644004338290802,175.33062,-7.771847824616824,-6.0,-41.9742,370.7917389563267,-41.746382000000004,372.46484647300224,372.46484647300224,-0.863523,-0.22063981920961398,-1.67662,-0.8721565136739702,-0.227818,-1.6731075166755323,-3.45522,-284.593,-0.6831710586771605,-0.014061410799104125,242.0
20,-33.5704,11.633563434301543,-32.662301,11.85899278855468,11.85899278855468,171.087,-8.65385525030462,172.76055,-7.737139544516026,-6.0,-42.1223,368.22413840769366,-41.88971,369.8939663820606,369.8939663820606,-0.908099,-0.2254293542531335,-1.67355,-0.9167157057885905,-0.23259,-1.669827974367022,-3.45522,-284.593,-0.730760750034315,0.9575865528242503,241.0
21,-33.5732,11.508652566594556,-32.624521,11.743103861405757,11.743103861405757,168.526,-8.669875975255376,170.1919,-7.712620996521373,-6.0,-42.2583,365.6626221448961,-42.016725,367.3246295663614,367.3246295663614,-0.948679,-0.23445129481120802,-1.6659,-0.9572549787340027,-0.241575,-1.6620074214653437,-3.45522,-284.593,-0.7724804300504872,-0.07014817345543634,241.0
