point_index,x,x_rot,x_0,x_0_rot,x_proj,y,y_rot,y_0,y_0_rot,y_proj,z,z_rot,z_0,z_0_rot,z_proj,u,u_rot,v,v_rot,w,w_rot,Crosshead,Force,g,h,Element
0,-34.0235,7.077826450960728,-33.608678999999995,9.49393636268318,9.49393636268318,204.008,-8.9365448039898,205.57331000000002,-8.513821409507766,-6.0,-46.5355,401.1276221093432,-44.112629999999996,402.70124477390027,402.70124477390027,-0.414821,-2.416109911722447,-1.56531,-0.4227233944820362,-2.42287,-1.5736226645570688,-3.70348,-296.342,0.4178194604604337,0.08049790956010838,164.0
1,-33.7955,6.428195897412202,-33.309855999999996,8.925187851704152,8.925187851704152,198.871,-8.735037343510516,200.40952000000001,-8.241636261069704,-6.0,-47.2074,395.9866515863404,-44.70377,397.53346868936757,397.53346868936757,-0.485644,-2.4969919542919534,-1.53852,-0.493401082440812,-2.50363,-1.546817103027224,-3.70348,-296.342,0.21306942320787958,0.013387475747026657,163.0
2,-33.6644,5.910889831368216,-33.096987,8.483560948423658,8.483560948423658,193.749,-8.630360869949346,195.25934,-8.05534304216555,-6.0,-47.7469,390.861754595901,-45.167719999999996,392.3802970635327,392.3802970635327,-0.567413,-2.572671117055441,-1.51034,-0.575017827783789,-2.57918,-1.5185424676316435,-3.70348,-296.342,0.05408329286573703,-0.047881174586927956,162.0
3,-33.6485,5.549997606242513,-32.987513,8.197237167426351,8.197237167426351,188.644,-8.640806585666493,190.13121,-7.972341000048065,-6.0,-48.1299,385.75512998257415,-45.476259999999996,387.25038199697303,387.25038199697303,-0.660987,-2.6472395611838304,-1.48721,-0.6684655856184337,-2.65364,-1.4952520143988821,-3.70348,-296.342,-0.0489935569084729,-0.09984720121078682,161.0
4,-33.7789,5.400337780367217,-33.015131,8.119947862660887,8.119947862660887,183.574,-8.797385135753768,185.0355,-8.026277081045816,-6.0,-48.3015,380.6851757163921,-45.57561,382.154500199177,382.154500199177,-0.763769,-2.7196100822936713,-1.4615,-0.7711080547079465,-2.72589,-1.4693244827848821,-3.70348,-296.342,-0.07681778453187757,-0.13819992032920256,160.0
5,-33.9447,11.57665198140635,-33.556221,13.968777021820927,13.968777021820927,204.456,-8.85576364827558,206.10273999999998,-8.458959468670361,-6.0,-42.0347,401.5946935256077,-39.63546,403.24977810203995,403.24977810203995,-0.388479,-2.3921250404145713,-1.64674,-0.39680417960521686,-2.39924,-1.6550845764322655,-3.70348,-296.342,0.02875549781155125,0.29991124081598175,248.0
6,-33.9314,11.404430537229587,-33.51638199999999,13.845647112890184,13.845647112890184,201.921,-8.855546780700404,203.55632,-8.432266574621249,-6.0,-42.2179,399.05888912335104,-39.76962,400.7026292067653,400.7026292067653,-0.415018,-2.4412165756605995,-1.63532,-0.4232802060791509,-2.44828,-1.643740083414264,-3.70348,-296.342,-0.015570914792215309,-0.7189483172938709,248.0
7,-33.8373,11.113813233108715,-33.39147,13.598738170347943,13.598738170347943,199.364,-8.77463590128787,200.98643,-8.32061392226878,-6.0,-42.5196,396.5001547060418,-40.02767,398.1310349170077,398.1310349170077,-0.44583,-2.484924937239231,-1.62243,-0.45402197901908586,-2.49193,-1.6308802109658609,-3.70348,-296.342,-0.10445742301535632,0.2524139668030784,247.0
8,-33.728,10.798132264415543,-33.246272000000005,13.319250323030829,13.319250323030829,196.799,-8.6785647018846,198.40757,-8.188719473931602,-6.0,-42.8464,393.9332332646745,-40.318340000000006,395.55022478953913,395.55022478953913,-0.481728,-2.5211180586152926,-1.60857,-0.48984522795299723,-2.52806,-1.6169915248645828,-3.70348,-296.342,-0.2050722431309564,-0.7799100841843484,247.0
9,-33.6317,10.495645591239239,-33.115707,13.059947154456566,13.059947154456566,194.235,-8.595489137158932,195.82957000000002,-8.071454877793752,-6.0,-43.16,391.3674361138335,-40.58882,392.9704376586935,392.9704376586935,-0.515993,-2.5643015632173296,-1.59457,-0.5240342593651676,-2.57118,-1.6030015448599892,-3.70348,-296.342,-0.29842063703053995,0.18817506347741075,246.0
