point_index,x,x_rot,x_0,x_0_rot,x_proj,y,y_rot,y_0,y_0_rot,y_proj,z,z_rot,z_0,z_0_rot,z_proj,u,u_rot,v,v_rot,w,w_rot,Crosshead,Force,g,h,Element
0,-34.0375,5.268600936946505,-33.608706,9.493954195094517,9.493954195094517,204.133,-8.94976530394101,205.57381,-8.51384582749169,-6.0,-48.3442,401.2448598423726,-44.112610000000004,402.7017449886257,402.7017449886257,-0.428794,-4.225353258148013,-1.44081,-0.4359194764493211,-4.23159,-1.4568851462531056,-3.96624,-300.572,0.4178258801464904,0.08069799545028218,164.0
1,-33.8146,4.572361672436585,-33.309852,8.925220233089696,8.925220233089696,198.998,-8.753344002523225,200.40896999999998,-8.241635104783253,-6.0,-49.0627,396.10571383996523,-44.703739999999996,397.53291881109544,397.53291881109544,-0.504748,-4.352858560653109,-1.41097,-0.5117088977399776,-4.35896,-1.4272049711302153,-3.96624,-300.572,0.21308108053931613,0.01316752443817677,163.0
2,-33.6817,4.022073408750309,-33.096951,8.483530908873227,8.483530908873227,193.872,-8.6468857817752,195.25935,-8.055306988768766,-6.0,-49.6352,390.9766647502931,-45.16775,392.380306747432,392.380306747432,-0.584749,-4.461457500122915,-1.38735,-0.5915787930064318,-4.46745,-1.4036419971389065,-3.96624,-300.572,0.05407247859730187,-0.04787730102721071,162.0
3,-33.6713,3.6114724633786324,-32.987524,8.197287079305177,8.197287079305177,188.769,-8.662817422350951,190.13123000000002,-7.972351900267245,-6.0,-50.0679,385.8718533007834,-45.47621,387.25040226984595,387.25040226984595,-0.683776,-4.585814615926545,-1.36223,-0.6904655220837076,-4.59169,-1.3785489690624801,-3.96624,-300.572,-0.0489755885817844,-0.09983909206162025,161.0
4,-33.8133,3.40121209231647,-33.01513,8.119888685947267,8.119888685947267,183.699,-8.830991343672036,185.03531,-8.026277058219787,-6.0,-50.3001,380.8016965583241,-45.57567,382.1543099385232,382.1543099385232,-0.79817,-4.718676593630797,-1.33631,-0.8047142854522527,-4.72443,-1.3526133801991582,-3.96624,-300.572,-0.07683908820843106,-0.1382760245907093,160.0
5,-33.9873,9.805904780785056,-33.556222999999996,13.968726415954578,13.968726415954578,204.516,-8.897922393726464,206.10288,-8.458960741675337,-6.0,-43.8052,401.64724588706895,-39.63551,403.2499178926902,403.2499178926902,-0.431077,-4.162821635169519,-1.58688,-0.43896165205112925,-4.16969,-1.6026720056212995,-3.96624,-300.572,0.028737279845409348,0.2999671570760711,248.0
6,-33.9415,9.567691832307013,-33.516374,13.845714471940909,13.845714471940909,202.003,-8.865087437089333,203.55693,-8.432255428474736,-6.0,-44.0543,399.13298774366456,-39.769549999999995,400.7032394546885,400.7032394546885,-0.425126,-4.2780226396338925,-1.55393,-0.43283200861459975,-4.28475,-1.5702517110239405,-3.96624,-300.572,-0.015546665727946914,-0.7187042181245943,248.0
7,-33.8498,9.253870186193296,-33.391449,13.598692112780391,13.598692112780391,199.447,-8.78656964659292,200.98552,-8.3205976201583,-6.0,-44.3792,396.5751652447731,-40.027719999999995,398.1301246126872,398.1301246126872,-0.458351,-4.3448219265870955,-1.53852,-0.46597202643461577,-4.35148,-1.5549593679141025,-3.96624,-300.572,-0.10447400360703026,0.25204984507488465,247.0
8,-33.7401,8.909185199481598,-33.24624,13.319262577410072,13.319262577410072,196.883,-8.69009114529575,198.40705,-8.188690161554522,-6.0,-44.735,394.0091161430576,-40.31833,395.54970467933975,395.54970467933975,-0.49386,-4.410077377928479,-1.52405,-0.5014009837412396,-4.41667,-1.5405885362821428,-3.96624,-300.572,-0.2050678315897213,-0.7801181282640983,247.0
9,-33.6468,8.584285459848083,-33.115722,13.059943559440661,13.059943559440661,194.322,-8.60999838800809,195.8304,-8.071465589594158,-6.0,-45.071,391.4462374287887,-40.58882,392.97126771733315,392.97126771733315,-0.531078,-4.475658099592579,-1.5084,-0.5385327984139375,-4.48218,-1.5250302885444569,-3.96624,-300.572,-0.298421931225912,0.18850708693325943,246.0
