x,y,z,u,v,w,time,DAQ_DAQCrossheadmm,DAQ_DAQForcekN
-32.9033,154.347,-36.7375,-0.926934,-1.56861,-2.43688,6654.22,-3.56323,-286.308
6654.22,-3.56323,-286.308,,,,,,
-33.1614,177.943,-30.4127,-0.569078,-1.71141,-2.14159,6654.22,-3.56323,-286.308
-32.6324,149.142,-37.4136,-0.968814,-1.55039,-2.51106,6654.22,-3.56323,-286.308
-33.0164,198.613,-25.0122,-0.318675,-1.85788,-1.89757,6654.22,-3.56323,-286.308
-32.5055,146.539,-37.7352,-0.987787,-1.54187,-2.54762,6654.22,-3.56323,-286.308
-33.1354,172.861,-30.7318,-0.629879,-1.69202,-2.20189,6654.22,-3.56323,-286.308
-32.3461,143.925,-38.1096,-1.00849,-1.53009,-2.58437,6654.22,-3.56323,-286.308
-33.1151,170.316,-30.903,-0.660513,-1.68206,-2.23359,6654.22,-3.56323,-286.308
-33.1086,193.612,-25.1229,-0.358745,-1.83493,-1.95233,6654.22,-3.56323,-286.308
-33.0252,167.746,-31.1796,-0.692004,-1.67301,-2.26444,6654.22,-3.56323,-286.308
-30.5272,106.397,-47.5861,-1.4713,-1.32332,-3.10546,6654.22,-3.56323,-286.308
-32.9611,165.183,-31.414,-0.719858,-1.6635,-2.29675,6654.22,-3.56323,-286.308
-30.399,103.739,-47.9317,-1.50233,-1.31451,-3.14116,6654.22,-3.56323,-286.308
-31.8143,133.475,-39.4393,-1.0858,-1.48676,-2.73052,6654.22,-3.56323,-286.308
-33.0565,162.666,-31.4112,-0.749158,-1.65563,-2.32608,6654.22,-3.56323,-286.308
-33.2286,186.086,-25.32,-0.425328,-1.80937,-2.04466,6654.22,-3.56323,-286.308
-33.1225,160.136,-31.4444,-0.776362,-1.65012,-2.3526,6654.22,-3.56323,-286.308
-30.0533,95.7593,-48.9049,-1.59721,-1.29178,-3.24285,6654.22,-3.56323,-286.308
-32.9552,157.534,-31.8289,-0.798263,-1.64339,-2.39091,6654.22,-3.56323,-286.308
6654.22,-3.56323,-286.308,,,,,,
-33.1363,181.012,-25.7185,-0.473233,-1.7885,-2.10404,6654.22,-3.56323,-286.308
-31.1718,122.942,-40.9521,-1.17148,-1.44254,-2.88272,6654.22,-3.56323,-286.308
6654.22,-3.56323,-286.308,,,,,,
-32.6322,152.332,-32.5763,-0.837817,-1.62345,-2.46632,6654.22,-3.56323,-286.308
-29.6942,87.7436,-49.8998,-1.69517,-1.27299,-3.34105,6654.22,-3.56323,-286.308
-32.4784,149.73,-32.9348,-0.854492,-1.61406,-2.5038,6654.22,-3.56323,-286.308
-30.8911,117.67,-41.6513,-1.21854,-1.42114,-2.95609,6654.22,-3.56323,-286.308
-32.3315,147.128,-33.2839,-0.872918,-1.60371,-2.53973,6654.22,-3.56323,-286.308
-32.8706,196.564,-20.8384,-0.297163,-1.90728,-1.92924,6654.22,-3.56323,-286.308
-29.4458,82.3786,-50.5826,-1.76408,-1.26172,-3.40508,6654.22,-3.56323,-286.308
-30.6171,112.388,-42.3449,-1.26944,-1.40054,-3.02802,6654.22,-3.56323,-286.308
-32.9212,194.064,-20.8825,-0.321161,-1.9004,-1.94806,6654.22,-3.56323,-286.308
-32.0428,141.92,-33.9735,-0.906119,-1.58164,-2.61674,6654.22,-3.56323,-286.308
-32.8758,168.282,-26.766,-0.601996,-1.73836,-2.25956,6654.22,-3.56323,-286.308
-32.93,191.556,-20.9816,-0.335768,-1.89051,-1.97754,6654.22,-3.56323,-286.308
-30.3453,107.095,-43.0411,-1.32168,-1.37932,-3.10077,6654.22,-3.56323,-286.308
-32.8241,165.73,-26.9763,-0.627041,-1.72843,-2.29043,6654.22,-3.56323,-286.308
-30.2292,104.448,-43.3601,-1.34961,-1.37089,-3.13579,6654.22,-3.56323,-286.308
-28.9323,71.5991,-51.9565,-1.89853,-1.24773,-3.5229,6654.22,-3.56323,-286.308
-30.1137,101.798,-43.6799,-1.37908,-1.36302,-3.17001,6654.22,-3.56323,-286.308
-28.805,68.8971,-52.2943,-1.93102,-1.24484,-3.55113,6654.22,-3.56323,-286.308
-29.9943,99.1446,-44.0051,-1.40856,-1.35462,-3.20399,6654.22,-3.56323,-286.308
-28.651,66.1792,-52.6776,-1.96485,-1.24273,-3.57971,6654.22,-3.56323,-286.308
-33.0301,184.041,-21.1867,-0.394159,-1.8627,-2.0661,6654.22,-3.56323,-286.308
-32.7878,158.093,-27.4175,-0.696946,-1.70631,-2.3809,6654.22,-3.56323,-286.308
-31.1683,126.228,-36.0562,-1.01475,-1.51449,-2.8383,6654.22,-3.56323,-286.308
-29.7418,93.8235,-44.6733,-1.46975,-1.33756,-3.2692,6654.22,-3.56323,-286.308
-32.6315,155.5,-27.7789,-0.713357,-1.69776,-2.42248,6654.22,-3.56323,-286.308
6654.22,-3.56323,-286.308,,,,,,
-32.9706,178.985,-21.5194,-0.431367,-1.84404,-2.12913,6654.22,-3.56323,-286.308
-30.8576,120.966,-36.7947,-1.05915,-1.49106,-2.91107,6654.22,-3.56323,-286.308
-32.8753,199.517,-16.2367,-0.302507,-2.01261,-1.83025,6654.22,-3.56323,-286.308
-32.9028,176.444,-21.7379,-0.452031,-1.83352,-2.15747,6654.22,-3.56323,-286.308
-29.3727,85.8188,-45.6694,-1.56061,-1.3157,-3.36753,6654.22,-3.56323,-286.308
-32.8088,197.036,-16.438,-0.274151,-1.97621,-1.91287,6654.22,-3.56323,-286.308
-30.5808,115.705,-37.4741,-1.10244,-1.46891,-2.98357,6654.22,-3.56323,-286.308
-32.0133,145.116,-29.1924,-0.776068,-1.65566,-2.56798,6654.22,-3.56323,-286.308
-32.7963,194.532,-16.5617,-0.28548,-1.96478,-1.94142,6654.22,-3.56323,-286.308
-29.1216,80.462,-46.3422,-1.62475,-1.30406,-3.43204,6654.22,-3.56323,-286.308
-30.2815,110.422,-38.2036,-1.15125,-1.44551,-3.05771,6654.22,-3.56323,-286.308
-32.8162,192.031,-16.6453,-0.29863,-1.95647,-1.97354,6654.22,-3.56323,-286.308
-31.7348,139.919,-29.8543,-0.805699,-1.6336,-2.6423,6654.22,-3.56323,-286.308
-32.6819,166.272,-22.5656,-0.537803,-1.79313,-2.28123,6654.22,-3.56323,-286.308
