x,y,z,u,v,w,time,DAQ_DAQCrossheadmm,DAQ_DAQForcekN
-34.0375,204.133,-48.3442,-0.428794,-1.44081,-4.23159,6678.22,-3.96624,-300.572
-33.8146,198.998,-49.0627,-0.504748,-1.41097,-4.35896,6678.22,-3.96624,-300.572
-33.6817,193.872,-49.6352,-0.584749,-1.38735,-4.46745,6678.22,-3.96624,-300.572
-33.6713,188.769,-50.0679,-0.683776,-1.36223,-4.59169,6678.22,-3.96624,-300.572
-33.8133,183.699,-50.3001,-0.79817,-1.33631,-4.72443,6678.22,-3.96624,-300.572
-33.9873,204.516,-43.8052,-0.431077,-1.58688,-4.16969,6678.22,-3.96624,-300.572
-33.9415,202.003,-44.0543,-0.425126,-1.55393,-4.28475,6678.22,-3.96624,-300.572
-33.8498,199.447,-44.3792,-0.458351,-1.53852,-4.35148,6678.22,-3.96624,-300.572
-33.7401,196.883,-44.735,-0.49386,-1.52405,-4.41667,6678.22,-3.96624,-300.572
-33.6468,194.322,-45.071,-0.531078,-1.5084,-4.48218,6678.22,-3.96624,-300.572
-33.5785,191.764,-45.3665,-0.573432,-1.49253,-4.54246,6678.22,-3.96624,-300.572
-33.5335,189.209,-45.6311,-0.616652,-1.47959,-4.60602,6678.22,-3.96624,-300.572
-33.538,186.664,-45.8246,-0.664235,-1.46669,-4.66457,6678.22,-3.96624,-300.572
-33.6065,184.135,-45.9195,-0.711494,-1.45487,-4.72591,6678.22,-3.96624,-300.572
-33.7428,181.62,-45.9152,-0.76166,-1.44707,-4.78264,6678.22,-3.96624,-300.572
6678.22,-3.96624,-300.572,,,,,,
-33.8033,179.078,-46.0344,-0.814717,-1.44004,-4.83816,6678.22,-3.96624,-300.572
-33.7368,202.382,-39.7658,-0.385928,-1.6746,-4.27535,6678.22,-3.96624,-300.572
6678.22,-3.96624,-300.572,,,,,,
-33.6269,173.917,-46.7149,-0.916631,-1.41347,-4.96856,6678.22,-3.96624,-300.572
-33.6344,171.352,-46.9161,-0.972023,-1.40881,-5.02641,6678.22,-3.96624,-300.572
-33.6517,168.793,-47.1023,-1.02715,-1.39819,-5.08564,6678.22,-3.96624,-300.572
-33.6612,166.233,-47.2995,-1.08143,-1.38617,-5.14703,6678.22,-3.96624,-300.572
-33.7069,163.678,-47.4448,-1.13374,-1.37803,-5.21189,6678.22,-3.96624,-300.572
-33.7607,161.122,-47.57,-1.18253,-1.3723,-5.2739,6678.22,-3.96624,-300.572
-33.7286,158.538,-47.8248,-1.23578,-1.36569,-5.33331,6678.22,-3.96624,-300.572
6678.22,-3.96624,-300.572,,,,,,
-33.414,153.291,-48.7349,-1.34141,-1.34214,-5.47059,6678.22,-3.96624,-300.572
-33.4435,202.738,-35.6325,-0.350727,-1.79233,-4.26601,6678.22,-3.96624,-300.572
-33.625,176.98,-41.8078,-0.773037,-1.55145,-4.88897,6678.22,-3.96624,-300.572
-33.2038,148.061,-49.4805,-1.45148,-1.3228,-5.59091,6678.22,-3.96624,-300.572
