x,y,z,u,v,w,time,DAQ_DAQCrossheadmm,DAQ_DAQForcekN
6694.22,-4.46114,-8.07793,,,,,,
6694.22,-4.46114,-8.07793,,,,,,
6694.22,-4.46114,-8.07793,,,,,,
6694.22,-4.46114,-8.07793,,,,,,
6694.22,-4.46114,-8.07793,,,,,,
-33.9664,204.319,-47.3683,-0.410127,-1.78338,-7.7328,6694.22,-4.46114,-8.07793
-33.9626,201.769,-47.5932,-0.446249,-1.78761,-7.8236,6694.22,-4.46114,-8.07793
-33.8508,199.213,-47.9682,-0.459307,-1.77248,-7.94045,6694.22,-4.46114,-8.07793
-33.7217,196.647,-48.3677,-0.475421,-1.75971,-8.04941,6694.22,-4.46114,-8.07793
-33.6009,194.086,-48.7585,-0.485163,-1.74353,-8.16972,6694.22,-4.46114,-8.07793
-33.5095,191.527,-49.1059,-0.504413,-1.73031,-8.28186,6694.22,-4.46114,-8.07793
-33.4498,188.962,-49.4064,-0.533043,-1.72597,-8.3813,6694.22,-4.46114,-8.07793
-33.4262,186.414,-49.6566,-0.552416,-1.71602,-8.49661,6694.22,-4.46114,-8.07793
-33.4641,183.882,-49.8056,-0.569035,-1.70834,-8.61204,6694.22,-4.46114,-8.07793
-33.5708,181.359,-49.8539,-0.58969,-1.7078,-8.72139,6694.22,-4.46114,-8.07793
6694.22,-4.46114,-8.07793,,,,,,
-33.604,178.813,-50.0221,-0.615377,-1.70587,-8.82581,6694.22,-4.46114,-8.07793
-33.7804,202.071,-43.3013,-0.429551,-1.98586,-7.81081,6694.22,-4.46114,-8.07793
6694.22,-4.46114,-8.07793,,,,,,
-33.371,173.656,-50.8074,-0.66069,-1.67492,-9.06103,6694.22,-4.46114,-8.07793
6694.22,-4.46114,-8.07793,,,,,,
6694.22,-4.46114,-8.07793,,,,,,
6694.22,-4.46114,-8.07793,,,,,,
6694.22,-4.46114,-8.07793,,,,,,
6694.22,-4.46114,-8.07793,,,,,,
6694.22,-4.46114,-8.07793,,,,,,
6694.22,-4.46114,-8.07793,,,,,,
6694.22,-4.46114,-8.07793,,,,,,
