x,y,z,u,v,w,time,DAQ_DAQCrossheadmm,DAQ_DAQForcekN
-33.9278,204.613,-44.1101,-0.319075,-0.960337,0.00254515,6580.22,-2.36547,-138.022
-33.6529,199.46,-44.709,-0.343004,-0.949539,-0.00523127,6580.22,-2.36547,-138.022
-33.4705,194.322,-45.1731,-0.37354,-0.937755,-0.00538858,6580.22,-2.36547,-138.022
-33.3958,189.204,-45.4883,-0.408288,-0.927288,-0.0120753,6580.22,-2.36547,-138.022
-33.463,184.12,-45.5882,-0.447937,-0.915535,-0.0125334,6580.22,-2.36547,-138.022
-33.8611,205.134,-39.6293,-0.304865,-0.968825,0.00624885,6580.22,-2.36547,-138.022
-33.8319,202.592,-39.7683,-0.315588,-0.964998,0.0012957,6580.22,-2.36547,-138.022
-33.7194,200.026,-40.0282,-0.327952,-0.959515,-0.00051525,6580.22,-2.36547,-138.022
-33.5868,197.452,-40.3211,-0.340555,-0.954939,-0.00280878,6580.22,-2.36547,-138.022
-33.4682,194.881,-40.5956,-0.352527,-0.948755,-0.00679179,6580.22,-2.36547,-138.022
-33.3718,192.313,-40.8331,-0.366699,-0.943712,-0.00904863,6580.22,-2.36547,-138.022
-33.2989,189.75,-41.0353,-0.382105,-0.938557,-0.0101783,6580.22,-2.36547,-138.022
-33.271,187.198,-41.1727,-0.397249,-0.932143,-0.0126754,6580.22,-2.36547,-138.022
-33.3098,184.664,-41.2061,-0.414823,-0.925693,-0.0125524,6580.22,-2.36547,-138.022
-33.4148,182.146,-41.1428,-0.43361,-0.920739,-0.0102433,6580.22,-2.36547,-138.022
-33.5978,205.596,-35.477,-0.29092,-0.978761,0.00904962,6580.22,-2.36547,-138.022
-33.4374,179.599,-41.2088,-0.448757,-0.918961,-0.0125385,6580.22,-2.36547,-138.022
-33.651,203.083,-35.4867,-0.300156,-0.973894,0.00377164,6580.22,-2.36547,-138.022
-32.3707,147.858,-48.5009,-0.583002,-0.864108,-0.0740785,6580.22,-2.36547,-138.022
-33.1862,174.422,-41.767,-0.475896,-0.908406,-0.0206827,6580.22,-2.36547,-138.022
-33.1535,171.851,-41.9103,-0.491193,-0.90917,-0.0205508,6580.22,-2.36547,-138.022
-33.1286,169.286,-42.0417,-0.504035,-0.905311,-0.0250045,6580.22,-2.36547,-138.022
-33.0958,166.721,-42.1831,-0.516068,-0.898051,-0.0306561,6580.22,-2.36547,-138.022
-33.1011,164.161,-42.2669,-0.527952,-0.894552,-0.0339843,6580.22,-2.36547,-138.022
-33.1142,161.602,-42.3346,-0.536015,-0.892356,-0.0385386,6580.22,-2.36547,-138.022
-33.0347,159.013,-42.5327,-0.54193,-0.890696,-0.0411362,6580.22,-2.36547,-138.022
-33.3316,206.056,-31.3575,-0.276189,-0.988436,0.00354198,6580.22,-2.36547,-138.022
-32.6167,153.75,-43.3233,-0.54408,-0.883494,-0.05899,6580.22,-2.36547,-138.022
-33.3782,203.546,-31.3625,-0.285422,-0.984064,0.00402675,6580.22,-2.36547,-138.022
-33.2793,177.608,-36.9313,-0.427288,-0.923092,-0.0124935,6580.22,-2.36547,-138.022
-32.2944,148.51,-43.9601,-0.542099,-0.87397,-0.0705165,6580.22,-2.36547,-138.022
-32.1407,145.889,-44.2661,-0.539612,-0.86994,-0.0777758,6580.22,-2.36547,-138.022
-33.0122,172.428,-37.5142,-0.450721,-0.917668,-0.0239935,6580.22,-2.36547,-138.022
-33.468,195.994,-31.4808,-0.312698,-0.97133,-0.0045976,6580.22,-2.36547,-138.022
-31.8031,140.634,-44.9149,-0.527601,-0.858138,-0.0985451,6580.22,-2.36547,-138.022
-31.6313,137.999,-45.2478,-0.522053,-0.85392,-0.106278,6580.22,-2.36547,-138.022
-33.3126,190.897,-31.8759,-0.333614,-0.9574,-0.00757831,6580.22,-2.36547,-138.022
-32.9876,164.762,-37.821,-0.487213,-0.9053,-0.0338895,6580.22,-2.36547,-138.022
-31.3052,132.729,-45.8785,-0.513988,-0.843987,-0.116852,6580.22,-2.36547,-138.022
-33.0273,162.218,-37.8451,-0.494272,-0.902421,-0.0382483,6580.22,-2.36547,-138.022
-30.9358,127.437,-46.5757,-0.498886,-0.832116,-0.1357,6580.22,-2.36547,-138.022
-33.0554,183.217,-32.5152,-0.369543,-0.945488,-0.0082196,6580.22,-2.36547,-138.022
-30.7384,124.782,-46.9393,-0.491561,-0.826592,-0.144242,6580.22,-2.36547,-138.022
-33.1543,204.018,-27.187,-0.273311,-0.995289,0.00594444,6580.22,-2.36547,-138.022
