x,y,z,u,v,w,time,DAQ_DAQCrossheadmm,DAQ_DAQForcekN
-34.0051,203.791,-44.2653,-0.396397,-1.78252,-0.152715,6646.22,-3.45522,-284.593
-33.7822,198.65,-44.8726,-0.472334,-1.75895,-0.16878,6646.22,-3.45522,-284.593
-33.6538,193.526,-45.3501,-0.556812,-1.73353,-0.182388,6646.22,-3.45522,-284.593
-33.6434,188.422,-45.6699,-0.655872,-1.70857,-0.19366,6646.22,-3.45522,-284.593
-33.7782,183.352,-45.7775,-0.76307,-1.68366,-0.201894,6646.22,-3.45522,-284.593
-33.9181,204.297,-39.7797,-0.361921,-1.80621,-0.144178,6646.22,-3.45522,-284.593
-33.9108,201.759,-39.9253,-0.39446,-1.79726,-0.155746,6646.22,-3.45522,-284.593
-33.8209,199.2,-40.1921,-0.429381,-1.78579,-0.164431,6646.22,-3.45522,-284.593
-33.7133,196.633,-40.4878,-0.467084,-1.77386,-0.169497,6646.22,-3.45522,-284.593
-33.6193,194.068,-40.7693,-0.50356,-1.76239,-0.180526,6646.22,-3.45522,-284.593
-33.5516,191.506,-41.0075,-0.54648,-1.75076,-0.183429,6646.22,-3.45522,-284.593
-33.5059,188.949,-41.2154,-0.589126,-1.73904,-0.190324,6646.22,-3.45522,-284.593
-33.5089,186.404,-41.3545,-0.635111,-1.72609,-0.194497,6646.22,-3.45522,-284.593
-33.5777,183.877,-41.3933,-0.682691,-1.71313,-0.199706,6646.22,-3.45522,-284.593
-33.7143,181.365,-41.3326,-0.7332,-1.70207,-0.200033,6646.22,-3.45522,-284.593
-33.6344,204.741,-35.6249,-0.327585,-1.83401,-0.138838,6646.22,-3.45522,-284.593
-33.7679,178.823,-41.4021,-0.779316,-1.69564,-0.205854,6646.22,-3.45522,-284.593
-33.7077,202.235,-35.6398,-0.356806,-1.82212,-0.149258,6646.22,-3.45522,-284.593
-33.0283,147.138,-48.7897,-1.24057,-1.58424,-0.362926,6646.22,-3.45522,-284.593
-33.5738,173.654,-41.9742,-0.863523,-1.67662,-0.227818,6646.22,-3.45522,-284.593
-33.5704,171.087,-42.1223,-0.908099,-1.67355,-0.23259,6646.22,-3.45522,-284.593
-33.5732,168.526,-42.2583,-0.948679,-1.6659,-0.241575,6646.22,-3.45522,-284.593
-33.5656,165.963,-42.4062,-0.985832,-1.65546,-0.253689,6646.22,-3.45522,-284.593
-33.5937,163.407,-42.4973,-1.02062,-1.64859,-0.264406,6646.22,-3.45522,-284.593
-33.6284,160.85,-42.5713,-1.05027,-1.64445,-0.275265,6646.22,-3.45522,-284.593
-33.5688,158.262,-42.777,-1.07599,-1.64125,-0.285457,6646.22,-3.45522,-284.593
-33.3522,205.182,-31.5002,-0.296808,-1.86246,-0.13912,6646.22,-3.45522,-284.593
-33.1809,153.004,-43.5898,-1.10824,-1.62923,-0.325454,6646.22,-3.45522,-284.593
-33.4136,202.681,-31.513,-0.32086,-1.84962,-0.146535,6646.22,-3.45522,-284.593
-33.5839,176.817,-37.1312,-0.73195,-1.71385,-0.212302,6646.22,-3.45522,-284.593
-32.8793,147.772,-44.2471,-1.12697,-1.61251,-0.357497,6646.22,-3.45522,-284.593
-32.734,145.155,-44.5651,-1.13288,-1.60326,-0.376772,6646.22,-3.45522,-284.593
-33.3692,171.645,-37.7268,-0.807773,-1.70099,-0.236578,6646.22,-3.45522,-284.593
-33.5624,195.146,-31.6437,-0.407125,-1.81963,-0.167488,6646.22,-3.45522,-284.593
-32.4148,139.908,-45.227,-1.13927,-1.58493,-0.410623,6646.22,-3.45522,-284.593
-32.2465,137.279,-45.5769,-1.13722,-1.57406,-0.435437,6646.22,-3.45522,-284.593
-33.449,190.06,-32.05,-0.469992,-1.79473,-0.181618,6646.22,-3.45522,-284.593
-33.417,163.99,-38.0477,-0.916605,-1.67708,-0.260526,6646.22,-3.45522,-284.593
-31.9307,132.02,-46.2344,-1.13953,-1.55337,-0.472738,6646.22,-3.45522,-284.593
-33.4773,161.449,-38.0772,-0.94427,-1.6717,-0.27037,6646.22,-3.45522,-284.593
-31.5717,126.739,-46.9549,-1.13486,-1.52985,-0.514909,6646.22,-3.45522,-284.593
-33.2585,182.398,-32.7075,-0.572616,-1.76455,-0.200539,6646.22,-3.45522,-284.593
-31.3792,124.09,-47.3318,-1.13236,-1.51832,-0.536669,6646.22,-3.45522,-284.593
-33.1699,203.136,-27.3357,-0.288837,-1.87782,-0.14275,6646.22,-3.45522,-284.593
-31.2039,121.445,-47.6832,-1.12817,-1.50637,-0.558711,6646.22,-3.45522,-284.593
-32.8589,151.006,-39.4414,-1.00978,-1.64767,-0.335069,6646.22,-3.45522,-284.593
-33.1925,200.627,-27.4007,-0.311323,-1.86686,-0.147636,6646.22,-3.45522,-284.593
-30.8958,116.161,-48.3231,-1.12229,-1.48251,-0.601255,6646.22,-3.45522,-284.593
-33.3502,174.8,-32.9536,-0.679515,-1.7365,-0.221897,6646.22,-3.45522,-284.593
-32.5788,145.79,-40.054,-1.02136,-1.63088,-0.373169,6646.22,-3.45522,-284.593
-33.2743,172.23,-33.1962,-0.714153,-1.72899,-0.233682,6646.22,-3.45522,-284.593
-30.5694,110.856,-48.9974,-1.11893,-1.45937,-0.643405,6646.22,-3.45522,-284.593
-33.204,169.662,-33.4266,-0.748473,-1.71996,-0.244619,6646.22,-3.45522,-284.593
-30.4034,108.199,-49.3376,-1.11819,-1.4474,-0.662983,6646.22,-3.45522,-284.593
-33.1533,167.095,-33.6286,-0.781423,-1.71263,-0.253674,6646.22,-3.45522,-284.593
-30.2357,105.538,-49.6797,-1.11825,-1.43582,-0.683636,6646.22,-3.45522,-284.593
-31.9564,135.315,-41.356,-1.03158,-1.59109,-0.445835,6646.22,-3.45522,-284.593
-31.7978,132.691,-41.6809,-1.03103,-1.581,-0.466325,6646.22,-3.45522,-284.593
-33.316,162.042,-33.6161,-0.838955,-1.69863,-0.266326,6646.22,-3.45522,-284.593
-33.3144,185.522,-27.8941,-0.473483,-1.80463,-0.189935,6646.22,-3.45522,-284.593
-33.2477,159.464,-33.8329,-0.860776,-1.69494,-0.280958,6646.22,-3.45522,-284.593
-31.2344,124.774,-42.7918,-1.0262,-1.54603,-0.530631,6646.22,-3.45522,-284.593
6646.22,-3.45522,-284.593,,,,,,
-32.867,154.234,-34.6145,-0.89064,-1.68124,-0.313873,6646.22,-3.45522,-284.593
6646.22,-3.45522,-284.593,,,,,,
-33.1568,177.879,-28.4846,-0.564552,-1.77585,-0.213488,6646.22,-3.45522,-284.593
-32.5704,149.027,-35.2531,-0.906823,-1.66563,-0.350495,6646.22,-3.45522,-284.593
-32.9933,198.589,-23.27,-0.295573,-1.88204,-0.155373,6646.22,-3.45522,-284.593
-32.4307,146.422,-35.5555,-0.912968,-1.65853,-0.367911,6646.22,-3.45522,-284.593
-33.1309,172.796,-28.7596,-0.625433,-1.75707,-0.229677,6646.22,-3.45522,-284.593
-32.2551,143.806,-35.9105,-0.917416,-1.64876,-0.385295,6646.22,-3.45522,-284.593
-33.1104,170.25,-28.9073,-0.655852,-1.74837,-0.237894,6646.22,-3.45522,-284.593
-33.0893,193.588,-23.3351,-0.339486,-1.85859,-0.164551,6646.22,-3.45522,-284.593
-33.0176,167.677,-29.1644,-0.684374,-1.74173,-0.249286,6646.22,-3.45522,-284.593
-30.0745,106.256,-45.1586,-1.01854,-1.46457,-0.677909,6646.22,-3.45522,-284.593
-32.9492,165.112,-29.3805,-0.707943,-1.73431,-0.263229,6646.22,-3.45522,-284.593
-29.9166,103.6,-45.4899,-1.01985,-1.45332,-0.699348,6646.22,-3.45522,-284.593
-31.6514,133.355,-37.1687,-0.92297,-1.60744,-0.459925,6646.22,-3.45522,-284.593
-33.0425,162.595,-29.3533,-0.735133,-1.72591,-0.268182,6646.22,-3.45522,-284.593
-33.2168,186.063,-23.4616,-0.413551,-1.832,-0.186224,6646.22,-3.45522,-284.593
-33.1039,160.066,-29.3672,-0.757697,-1.72075,-0.275375,6646.22,-3.45522,-284.593
-29.4826,95.6288,-46.4224,-1.02655,-1.42236,-0.76035,6646.22,-3.45522,-284.593
-32.9295,157.461,-29.7301,-0.772521,-1.71645,-0.292144,6646.22,-3.45522,-284.593
6646.22,-3.45522,-284.593,,,,,,
-33.1265,180.987,-23.8171,-0.463381,-1.81349,-0.202558,6646.22,-3.45522,-284.593
-30.9185,122.822,-38.6162,-0.918147,-1.56197,-0.546833,6646.22,-3.45522,-284.593
6646.22,-3.45522,-284.593,,,,,,
-32.5862,152.254,-30.4405,-0.791819,-1.70115,-0.330455,6646.22,-3.45522,-284.593
-29.035,87.6224,-47.3764,-1.03595,-1.39415,-0.81758,6646.22,-3.45522,-284.593
-32.4221,149.65,-30.7785,-0.798251,-1.69359,-0.347473,6646.22,-3.45522,-284.593
-30.59,117.553,-39.2847,-0.91738,-1.53873,-0.589528,6646.22,-3.45522,-284.593
-32.2626,147.047,-31.1085,-0.803997,-1.68434,-0.364307,6646.22,-3.45522,-284.593
-32.8506,196.573,-19.0694,-0.277142,-1.89821,-0.160262,6646.22,-3.45522,-284.593
-28.723,82.2645,-48.036,-1.04121,-1.37577,-0.858478,6646.22,-3.45522,-284.593
