x,y,z,u,v,w,time,DAQ_DAQCrossheadmm,DAQ_DAQForcekN
-34.0235,204.008,-46.5355,-0.414821,-1.56531,-2.42287,6662.22,-3.70348,-296.342
-33.7955,198.871,-47.2074,-0.485644,-1.53852,-2.50363,6662.22,-3.70348,-296.342
-33.6644,193.749,-47.7469,-0.567413,-1.51034,-2.57918,6662.22,-3.70348,-296.342
-33.6485,188.644,-48.1299,-0.660987,-1.48721,-2.65364,6662.22,-3.70348,-296.342
-33.7789,183.574,-48.3015,-0.763769,-1.4615,-2.72589,6662.22,-3.70348,-296.342
-33.9447,204.456,-42.0347,-0.388479,-1.64674,-2.39924,6662.22,-3.70348,-296.342
-33.9314,201.921,-42.2179,-0.415018,-1.63532,-2.44828,6662.22,-3.70348,-296.342
-33.8373,199.364,-42.5196,-0.44583,-1.62243,-2.49193,6662.22,-3.70348,-296.342
-33.728,196.799,-42.8464,-0.481728,-1.60857,-2.52806,6662.22,-3.70348,-296.342
-33.6317,194.235,-43.16,-0.515993,-1.59457,-2.57118,6662.22,-3.70348,-296.342
-33.5612,191.676,-43.4315,-0.556113,-1.58139,-2.60741,6662.22,-3.70348,-296.342
-33.5142,189.119,-43.6709,-0.597399,-1.56955,-2.64583,6662.22,-3.70348,-296.342
-33.5138,186.575,-43.8435,-0.640053,-1.55565,-2.68344,6662.22,-3.70348,-296.342
-33.5816,184.047,-43.9132,-0.68655,-1.54285,-2.71962,6662.22,-3.70348,-296.342
-33.717,181.533,-43.8834,-0.735815,-1.53398,-2.75089,6662.22,-3.70348,-296.342
-33.6801,204.841,-37.8653,-0.37319,-1.7339,-2.37927,6662.22,-3.70348,-296.342
-33.7715,178.991,-43.9834,-0.78286,-1.52728,-2.78714,6662.22,-3.70348,-296.342
-33.7265,202.344,-37.9343,-0.375607,-1.7136,-2.44382,6662.22,-3.70348,-296.342
-33.2159,147.36,-51.6691,-1.42824,-1.36211,-3.24237,6662.22,-3.70348,-296.342
-33.5839,173.827,-44.6154,-0.873635,-1.50384,-2.86901,6662.22,-3.70348,-296.342
-33.585,171.261,-44.7937,-0.922623,-1.49978,-2.90395,6662.22,-3.70348,-296.342
-33.5941,168.701,-44.9586,-0.969581,-1.49048,-2.94192,6662.22,-3.70348,-296.342
-33.5941,166.14,-45.1355,-1.01436,-1.47848,-2.98303,6662.22,-3.70348,-296.342
-33.6309,163.584,-45.2575,-1.05783,-1.47147,-3.02458,6662.22,-3.70348,-296.342
-33.6767,161.027,-45.3592,-1.0986,-1.46725,-3.06314,6662.22,-3.70348,-296.342
-33.6319,158.442,-45.5917,-1.13913,-1.46185,-3.10015,6662.22,-3.70348,-296.342
-33.4523,205.193,-33.6581,-0.396855,-1.85117,-2.29702,6662.22,-3.70348,-296.342
-33.2837,153.191,-46.4584,-1.21103,-1.4427,-3.19404,6662.22,-3.70348,-296.342
-33.4342,202.738,-33.803,-0.341426,-1.79186,-2.43655,6662.22,-3.70348,-296.342
-33.5928,176.934,-39.7363,-0.740827,-1.59748,-2.8174,6662.22,-3.70348,-296.342
-33.0306,147.961,-47.1666,-1.27834,-1.42333,-3.27706,6662.22,-3.70348,-296.342
-32.9103,145.345,-47.5121,-1.30921,-1.41365,-3.32378,6662.22,-3.70348,-296.342
-33.3858,171.767,-40.3912,-0.824346,-1.57877,-2.90102,6662.22,-3.70348,-296.342
-33.5796,195.203,-34.0243,-0.424303,-1.76263,-2.54806,6662.22,-3.70348,-296.342
-32.6531,140.097,-48.2179,-1.37761,-1.39557,-3.40155,6662.22,-3.70348,-296.342
-32.5116,137.472,-48.5995,-1.40234,-1.38167,-3.45796,6662.22,-3.70348,-296.342
-33.4609,190.119,-34.4962,-0.481913,-1.7351,-2.62785,6662.22,-3.70348,-296.342
-33.4501,164.115,-40.8045,-0.949724,-1.55154,-3.01739,6662.22,-3.70348,-296.342
-32.2638,132.211,-49.3041,-1.47268,-1.36207,-3.54247,6662.22,-3.70348,-296.342
-33.5206,161.574,-40.8615,-0.987541,-1.54677,-3.05468,6662.22,-3.70348,-296.342
-31.9785,126.928,-50.0705,-1.54163,-1.34015,-3.6305,6662.22,-3.70348,-296.342
-33.2693,182.464,-35.2463,-0.583481,-1.69914,-2.73937,6662.22,-3.70348,-296.342
-31.824,124.278,-50.4723,-1.57716,-1.32981,-3.67721,6662.22,-3.70348,-296.342
-33.1936,203.144,-29.6231,-0.312588,-1.86984,-2.4301,6662.22,-3.70348,-296.342
