x,y,z,u,v,w,time,DAQ_DAQCrossheadmm,DAQ_DAQForcekN
-33.9267,205.115,-44.0426,-0.317995,-0.458159,0.0700595,6540.22,-1.67229,-55.0853
-33.6319,199.956,-44.6399,-0.321968,-0.452808,0.0638959,6540.22,-1.67229,-55.0853
-33.4216,194.811,-45.1084,-0.324592,-0.448199,0.0593665,6540.22,-1.67229,-55.0853
-33.3212,189.688,-45.4215,-0.33372,-0.443272,0.0547214,6540.22,-1.67229,-55.0853
-33.358,184.597,-45.5256,-0.342863,-0.43804,0.0500584,6540.22,-1.67229,-55.0853
-33.8697,205.64,-39.5639,-0.313456,-0.463086,0.0716183,6540.22,-1.67229,-55.0853
-33.8323,203.094,-39.7003,-0.315958,-0.462542,0.0692739,6540.22,-1.67229,-55.0853
-33.7096,200.527,-39.9605,-0.318102,-0.459376,0.0672265,6540.22,-1.67229,-55.0853
-33.5639,197.95,-40.2567,-0.317672,-0.457399,0.0615856,6540.22,-1.67229,-55.0853
-33.434,195.375,-40.5313,-0.318331,-0.454815,0.0574695,6540.22,-1.67229,-55.0853
-33.3259,192.805,-40.769,-0.320783,-0.451917,0.0550506,6540.22,-1.67229,-55.0853
-33.2413,190.238,-40.9704,-0.32451,-0.449826,0.0547079,6540.22,-1.67229,-55.0853
-33.2012,187.684,-41.108,-0.32745,-0.446761,0.0520315,6540.22,-1.67229,-55.0853
-33.226,185.147,-41.1438,-0.33102,-0.443341,0.049755,6540.22,-1.67229,-55.0853
-33.3171,182.625,-41.0821,-0.335926,-0.441372,0.0503877,6540.22,-1.67229,-55.0853
-33.6148,206.105,-35.4151,-0.307917,-0.469657,0.0709489,6540.22,-1.67229,-55.0853
-33.328,180.077,-41.1459,-0.339392,-0.441746,0.0503216,6540.22,-1.67229,-55.0853
-33.6609,203.589,-35.4208,-0.310072,-0.467946,0.0696984,6540.22,-1.67229,-55.0853
-32.1421,148.31,-48.4144,-0.354371,-0.411892,0.0123457,6540.22,-1.67229,-55.0853
-33.0523,174.896,-41.7056,-0.342033,-0.435127,0.0407665,6540.22,-1.67229,-55.0853
-33.0085,172.323,-41.8463,-0.346212,-0.437823,0.0434405,6540.22,-1.67229,-55.0853
-32.9733,169.756,-41.9759,-0.348802,-0.435255,0.0408176,6540.22,-1.67229,-55.0853
-32.9296,167.189,-42.1182,-0.349858,-0.43006,0.0342814,6540.22,-1.67229,-55.0853
-32.9252,164.627,-42.2021,-0.3521,-0.428808,0.0307551,6540.22,-1.67229,-55.0853
-32.9314,162.067,-42.2667,-0.353269,-0.428175,0.0293704,6540.22,-1.67229,-55.0853
-32.8457,159.477,-42.4623,-0.352863,-0.427234,0.0292326,6540.22,-1.67229,-55.0853
-33.3583,206.569,-31.2942,-0.302883,-0.47483,0.0669101,6540.22,-1.67229,-55.0853
-32.422,154.21,-43.2419,-0.349373,-0.423206,0.022399,6540.22,-1.67229,-55.0853
-33.3965,204.057,-31.2996,-0.303746,-0.473211,0.0668664,6540.22,-1.67229,-55.0853
-33.1807,178.088,-36.8703,-0.328773,-0.442894,0.0485932,6540.22,-1.67229,-55.0853
-32.0933,148.966,-43.8758,-0.341025,-0.418343,0.0137245,6540.22,-1.67229,-55.0853
-31.9376,146.342,-44.1787,-0.336511,-0.416646,0.00959755,6540.22,-1.67229,-55.0853
-32.8931,172.904,-37.4496,-0.331619,-0.442149,0.0406466,6540.22,-1.67229,-55.0853
-33.4597,196.497,-31.42,-0.304447,-0.468453,0.0562122,6540.22,-1.67229,-55.0853
-31.6001,141.082,-44.8191,-0.32464,-0.410568,-0.0027697,6540.22,-1.67229,-55.0853
-31.4294,138.444,-45.1471,-0.320093,-0.408806,-0.00556851,6540.22,-1.67229,-55.0853
-33.2872,191.394,-31.8134,-0.30817,-0.459785,0.0549589,6540.22,-1.67229,-55.0853
-32.839,165.232,-37.757,-0.338562,-0.435322,0.0301633,6540.22,-1.67229,-55.0853
-31.0998,133.17,-45.7771,-0.308597,-0.402776,-0.0154703,6540.22,-1.67229,-55.0853
-32.8728,162.687,-37.7764,-0.339711,-0.433607,0.0304746,6540.22,-1.67229,-55.0853
-30.7317,127.872,-46.4666,-0.294804,-0.396896,-0.0265602,6540.22,-1.67229,-55.0853
-32.9993,183.708,-32.4547,-0.313439,-0.454696,0.0522755,6540.22,-1.67229,-55.0853
-30.5354,125.215,-46.8264,-0.288548,-0.393594,-0.0312622,6540.22,-1.67229,-55.0853
-33.1827,204.534,-27.1214,-0.301717,-0.480175,0.071548,6540.22,-1.67229,-55.0853
-30.3581,122.56,-47.1598,-0.2824,-0.390873,-0.035355,6540.22,-1.67229,-55.0853
-32.1806,152.226,-39.0882,-0.331521,-0.427152,0.0181068,6540.22,-1.67229,-55.0853
-33.1842,202.016,-27.1795,-0.303034,-0.478168,0.0735477,6540.22,-1.67229,-55.0853
-30.0436,117.257,-47.7645,-0.270128,-0.38569,-0.0426306,6540.22,-1.67229,-55.0853
-32.9893,176.086,-32.6863,-0.318709,-0.449864,0.0454976,6540.22,-1.67229,-55.0853
-31.8807,146.998,-39.6712,-0.323219,-0.422506,0.00959467,6540.22,-1.67229,-55.0853
-32.8801,173.51,-32.9223,-0.32001,-0.449013,0.0401454,6540.22,-1.67229,-55.0853
-29.7081,111.936,-48.4045,-0.257638,-0.380086,-0.0505092,6540.22,-1.67229,-55.0853
-32.7774,170.937,-33.1443,-0.321873,-0.444154,0.0376078,6540.22,-1.67229,-55.0853
-29.5374,109.269,-48.7277,-0.252187,-0.377613,-0.0530562,6540.22,-1.67229,-55.0853
-32.695,168.365,-33.3398,-0.323143,-0.442328,0.0351344,6540.22,-1.67229,-55.0853
-29.3637,106.6,-49.0529,-0.246192,-0.37472,-0.0567518,6540.22,-1.67229,-55.0853
-31.2284,136.495,-40.9176,-0.3036,-0.411589,-0.00744332,6540.22,-1.67229,-55.0853
-31.0641,133.863,-41.2278,-0.29731,-0.408285,-0.0132349,6540.22,-1.67229,-55.0853
-32.8025,163.302,-33.3187,-0.325478,-0.438757,0.0311329,6540.22,-1.67229,-55.0853
-33.1442,186.863,-27.6502,-0.30329,-0.463626,0.053938,6540.22,-1.67229,-55.0853
-32.7129,160.721,-33.5227,-0.325955,-0.438063,0.029248,6540.22,-1.67229,-55.0853
-30.4871,125.921,-42.2897,-0.278876,-0.399473,-0.0285441,6540.22,-1.67229,-55.0853
6540.22,-1.67229,-55.0853,,,,,,
-32.2977,155.482,-34.2772,-0.321324,-0.433363,0.0233681,6540.22,-1.67229,-55.0853
6540.22,-1.67229,-55.0853,,,,,,
-32.8991,179.197,-28.224,-0.306792,-0.457359,0.0471246,6540.22,-1.67229,-55.0853
-31.9782,150.264,-34.8886,-0.31468,-0.428993,0.0139354,6540.22,-1.67229,-55.0853
-32.9914,199.991,-23.0496,-0.293679,-0.479881,0.0650945,6540.22,-1.67229,-55.0853
-31.8288,147.653,-35.1756,-0.311074,-0.4281,0.0119648,6540.22,-1.67229,-55.0853
-32.8138,174.1,-28.4893,-0.308342,-0.453509,0.040635,6540.22,-1.67229,-55.0853
-31.6438,145.03,-35.5178,-0.306096,-0.425318,0.0074033,6540.22,-1.67229,-55.0853
-32.7648,171.548,-28.6303,-0.310199,-0.450386,0.0391322,6540.22,-1.67229,-55.0853
-33.0435,194.973,-23.1074,-0.293686,-0.474269,0.0631235,6540.22,-1.67229,-55.0853
-32.6434,168.97,-28.8788,-0.310212,-0.448782,0.0362981,6540.22,-1.67229,-55.0853
-29.2943,107.34,-44.5368,-0.23832,-0.380643,-0.0561382,6540.22,-1.67229,-55.0853
-32.5515,166.4,-29.0841,-0.310261,-0.446692,0.0331832,6540.22,-1.67229,-55.0853
-29.1299,104.675,-44.8501,-0.233161,-0.378148,-0.0595473,6540.22,-1.67229,-55.0853
-31.0146,134.548,-36.7199,-0.286129,-0.413601,-0.0110861,6540.22,-1.67229,-55.0853
-32.619,163.877,-29.0541,-0.311685,-0.44459,0.0310308,6540.22,-1.67229,-55.0853
-33.098,187.426,-23.2214,-0.294697,-0.469394,0.0539501,6540.22,-1.67229,-55.0853
-32.6583,161.343,-29.0629,-0.312094,-0.443544,0.0289247,6540.22,-1.67229,-55.0853
-28.6736,96.6804,-45.7322,-0.217517,-0.370738,-0.0701949,6540.22,-1.67229,-55.0853
-32.4678,158.735,-29.4103,-0.310894,-0.442151,0.027697,6540.22,-1.67229,-55.0853
6540.22,-1.67229,-55.0853,,,,,,
-32.9597,182.335,-23.5642,-0.296609,-0.465558,0.0502767,6540.22,-1.67229,-55.0853
-30.2636,123.982,-38.1001,-0.263219,-0.402571,-0.0306604,6540.22,-1.67229,-55.0853
6540.22,-1.67229,-55.0853,,,,,,
-32.1003,153.518,-30.0902,-0.305982,-0.437282,0.019801,6540.22,-1.67229,-55.0853
-28.1987,88.6533,-46.6413,-0.199661,-0.363281,-0.0824817,6540.22,-1.67229,-55.0853
-31.9269,150.909,-30.4141,-0.303002,-0.434982,0.0168945,6540.22,-1.67229,-55.0853
-29.9255,118.694,-38.734,-0.252887,-0.397434,-0.0387749,6540.22,-1.67229,-55.0853
-31.7564,148.298,-30.7314,-0.29787,-0.433218,0.0127623,6540.22,-1.67229,-55.0853
-32.8627,197.987,-18.8437,-0.289239,-0.483879,0.0655016,6540.22,-1.67229,-55.0853
-27.8704,83.2817,-47.2669,-0.188602,-0.358591,-0.0893651,6540.22,-1.67229,-55.0853
-29.5896,113.396,-39.3636,-0.241956,-0.392117,-0.0467152,6540.22,-1.67229,-55.0853
-32.8878,195.483,-18.8721,-0.287768,-0.480976,0.0623934,6540.22,-1.67229,-55.0853
-31.4255,143.073,-31.3537,-0.288842,-0.428489,0.00306405,6540.22,-1.67229,-55.0853
-32.572,169.565,-24.4718,-0.29815,-0.455058,0.0346152,6540.22,-1.67229,-55.0853
-32.8815,192.969,-18.9437,-0.28731,-0.477842,0.0604051,6540.22,-1.67229,-55.0853
-29.2549,108.087,-39.995,-0.231359,-0.38653,-0.0546404,6540.22,-1.67229,-55.0853
-32.4954,167.006,-24.6515,-0.298335,-0.452097,0.0343825,6540.22,-1.67229,-55.0853
-29.106,105.435,-40.2825,-0.22637,-0.384442,-0.0582305,6540.22,-1.67229,-55.0853
-27.1973,72.4963,-48.5381,-0.163475,-0.350453,-0.104474,6540.22,-1.67229,-55.0853
-28.9566,102.779,-40.571,-0.221966,-0.382012,-0.0610568,6540.22,-1.67229,-55.0853
-27.0307,69.7938,-48.8521,-0.156682,-0.348203,-0.108937,6540.22,-1.67229,-55.0853
-28.8021,100.12,-40.8671,-0.216375,-0.379212,-0.0659554,6540.22,-1.67229,-55.0853
-26.8359,67.0765,-49.2108,-0.149806,-0.345451,-0.11294,6540.22,-1.67229,-55.0853
-32.923,185.43,-19.0674,-0.287107,-0.472909,0.0531663,6540.22,-1.67229,-55.0853
-32.3902,159.351,-25.0066,-0.299342,-0.447823,0.0300141,6540.22,-1.67229,-55.0853
-30.4111,127.331,-33.2431,-0.25762,-0.411488,-0.025274,6540.22,-1.67229,-55.0853
-28.4783,94.7873,-41.4774,-0.206266,-0.373684,-0.07333,6540.22,-1.67229,-55.0853
-32.2128,156.752,-25.3334,-0.294645,-0.445698,0.0230705,6540.22,-1.67229,-55.0853
6540.22,-1.67229,-55.0853,,,,,,
-32.8264,180.36,-19.342,-0.287178,-0.468775,0.0482741,6540.22,-1.67229,-55.0853
-30.0468,122.051,-33.9166,-0.248442,-0.4058,-0.0330332,6540.22,-1.67229,-55.0853
-32.8569,201.038,-14.341,-0.284072,-0.491628,0.0655027,6540.22,-1.67229,-55.0853
-32.7375,177.811,-19.5345,-0.286759,-0.466479,0.0459452,6540.22,-1.67229,-55.0853
-28.0021,86.7676,-42.3869,-0.190046,-0.366947,-0.0850684,6540.22,-1.67229,-55.0853
-32.8184,198.522,-14.4597,-0.28378,-0.489589,0.0653892,6540.22,-1.67229,-55.0853
-29.718,116.773,-34.5297,-0.239615,-0.400739,-0.0391717,6540.22,-1.67229,-55.0853
-31.5179,146.334,-26.6154,-0.280617,-0.437582,0.00901318,6540.22,-1.67229,-55.0853
-32.794,196.01,-14.5559,-0.283216,-0.486191,0.0643841,6540.22,-1.67229,-55.0853
-27.6772,81.4041,-43.0016,-0.180408,-0.361944,-0.0914024,6540.22,-1.67229,-55.0853
-29.3598,111.473,-35.1941,-0.229591,-0.395103,-0.048199,6540.22,-1.67229,-55.0853
-32.8004,193.504,-14.61,-0.282862,-0.484405,0.061829,6540.22,-1.67229,-55.0853
-31.2029,141.12,-27.209,-0.273738,-0.432606,0.00302936,6540.22,-1.67229,-55.0853
-32.4307,167.607,-20.2468,-0.286626,-0.457751,0.0376539,6540.22,-1.67229,-55.0853
-31.0384,138.509,-27.5183,-0.268325,-0.428073,-0.00473864,6540.22,-1.67229,-55.0853
-29.0763,106.189,-35.7431,-0.219979,-0.389987,-0.0559261,6540.22,-1.67229,-55.0853
-30.8805,135.895,-27.8133,-0.263407,-0.426731,-0.00843333,6540.22,-1.67229,-55.0853
-32.7476,188.468,-14.8089,-0.279962,-0.480466,0.0560067,6540.22,-1.67229,-55.0853
-30.7037,133.273,-28.1356,-0.26009,-0.424001,-0.010109,6540.22,-1.67229,-55.0853
-28.768,100.885,-36.3296,-0.210072,-0.385007,-0.065004,6540.22,-1.67229,-55.0853
-32.7447,185.954,-14.8735,-0.280406,-0.47876,0.0564255,6540.22,-1.67229,-55.0853
-26.8052,67.9189,-44.627,-0.150534,-0.350729,-0.110456,6540.22,-1.67229,-55.0853
-32.2909,159.96,-20.6473,-0.284926,-0.453248,0.0284163,6540.22,-1.67229,-55.0853
-30.3565,128.025,-28.7769,-0.24712,-0.417071,-0.0245623,6540.22,-1.67229,-55.0853
-32.7512,183.442,-14.9279,-0.279037,-0.476529,0.052002,6540.22,-1.67229,-55.0853
-32.127,157.37,-20.9546,-0.282379,-0.450748,0.0247413,6540.22,-1.67229,-55.0853
-26.45,62.5,-45.2882,-0.139928,-0.345932,-0.116029,6540.22,-1.67229,-55.0853
-32.7322,180.921,-15.0151,-0.27685,-0.474524,0.0471417,6540.22,-1.67229,-55.0853
-32.0025,154.791,-21.2008,-0.278875,-0.448518,0.0210168,6540.22,-1.67229,-55.0853
-26.288,59.7929,-45.5938,-0.133652,-0.343595,-0.119137,6540.22,-1.67229,-55.0853
-32.6723,178.385,-15.1682,-0.276553,-0.472949,0.0450592,6540.22,-1.67229,-55.0853
-31.8368,152.197,-21.5044,-0.275901,-0.446473,0.0172679,6540.22,-1.67229,-55.0853
-26.1336,57.086,-45.8901,-0.127026,-0.341048,-0.12302,6540.22,-1.67229,-55.0853
-32.78,199.055,-10.0895,-0.280223,-0.495674,0.0676081,6540.22,-1.67229,-55.0853
-32.6366,175.856,-15.2802,-0.275506,-0.470656,0.0430603,6540.22,-1.67229,-55.0853
-25.9846,54.3786,-46.1753,-0.120622,-0.338801,-0.127054,6540.22,-1.67229,-55.0853
-27.7754,84.8768,-38.1931,-0.18107,-0.369408,-0.0878324,6540.22,-1.67229,-55.0853
-29.4962,114.853,-30.3652,-0.226097,-0.403511,-0.0419109,6540.22,-1.67229,-55.0853
-25.8356,51.6678,-46.4616,-0.114529,-0.336601,-0.130237,6540.22,-1.67229,-55.0853
-27.6173,82.2019,-38.4914,-0.176428,-0.366578,-0.0918098,6540.22,-1.67229,-55.0853
-32.7434,194.043,-10.2614,-0.278269,-0.490553,0.0641433,6540.22,-1.67229,-55.0853
-25.6891,48.955,-46.7443,-0.108451,-0.334332,-0.133421,6540.22,-1.67229,-55.0853
-27.449,79.5188,-38.8061,-0.17141,-0.364597,-0.0950706,6540.22,-1.67229,-55.0853
-32.4387,168.227,-15.7586,-0.272951,-0.464766,0.0349314,6540.22,-1.67229,-55.0853
-25.5399,46.2377,-47.033,-0.102829,-0.331855,-0.135761,6540.22,-1.67229,-55.0853
-27.2831,76.8345,-39.1163,-0.166168,-0.36225,-0.0994244,6540.22,-1.67229,-55.0853
-30.8209,136.568,-23.3758,-0.252083,-0.432068,-0.00728211,6540.22,-1.67229,-55.0853
-32.3589,165.674,-15.9414,-0.272208,-0.463607,0.0316438,6540.22,-1.67229,-55.0853
-32.6972,189.02,-10.4476,-0.274859,-0.486588,0.0586385,6540.22,-1.67229,-55.0853
-30.6605,133.959,-23.674,-0.248682,-0.42753,-0.00862597,6540.22,-1.67229,-55.0853
-26.9556,71.4578,-39.7335,-0.155309,-0.357703,-0.106845,6540.22,-1.67229,-55.0853
-32.6558,186.501,-10.5701,-0.273073,-0.484376,0.0552629,6540.22,-1.67229,-55.0853
-30.4821,131.341,-23.997,-0.242876,-0.423682,-0.0147717,6540.22,-1.67229,-55.0853
-25.1183,38.0775,-47.8562,-0.0890792,-0.325727,-0.140672,6540.22,-1.67229,-55.0853
6540.22,-1.67229,-55.0853,,,,,,
-32.6454,183.99,-10.6425,-0.271439,-0.482236,0.0526384,6540.22,-1.67229,-55.0853
-26.5924,66.0545,-40.3992,-0.146177,-0.352778,-0.111162,6540.22,-1.67229,-55.0853
-32.1025,158.003,-16.5041,-0.268913,-0.457356,0.0251429,6540.22,-1.67229,-55.0853
6540.22,-1.67229,-55.0853,,,,,,
-32.6324,181.476,-10.7196,-0.269592,-0.480361,0.0489652,6540.22,-1.67229,-55.0853
-31.9728,155.429,-16.7528,-0.266616,-0.454919,0.0223335,6540.22,-1.67229,-55.0853
-24.9743,32.6822,-48.2051,-0.0829266,-0.321543,-0.142495,6540.22,-1.67229,-55.0853
-32.7469,202.085,-5.67175,-0.279859,-0.500775,0.0672939,6540.22,-1.67229,-55.0853
-32.6197,178.961,-10.7953,-0.266457,-0.478602,0.0440083,6540.22,-1.67229,-55.0853
