x,y,z,u,v,w,time,DAQ_DAQCrossheadmm,DAQ_DAQForcekN
-33.9715,204.106,-44.1759,-0.362827,-1.46765,-0.0632687,6620.22,-3.03286,-227.202
-33.7259,198.96,-44.7779,-0.416029,-1.44962,-0.074112,6620.22,-3.03286,-227.202
-33.5752,193.829,-45.2451,-0.478194,-1.43051,-0.0773415,6620.22,-3.03286,-227.202
-33.534,188.72,-45.5658,-0.546435,-1.41078,-0.0895688,6620.22,-3.03286,-227.202
-33.6391,183.644,-45.6676,-0.624048,-1.39159,-0.0919797,6620.22,-3.03286,-227.202
-33.8937,204.619,-39.6918,-0.337457,-1.48348,-0.0562549,6620.22,-3.03286,-227.202
-33.8755,202.081,-39.8364,-0.359125,-1.47603,-0.0668427,6620.22,-3.03286,-227.202
-33.7754,199.519,-40.0991,-0.383932,-1.46705,-0.0714045,6620.22,-3.03286,-227.202
-33.6566,196.948,-40.3932,-0.410307,-1.45911,-0.0748559,6620.22,-3.03286,-227.202
-33.553,194.38,-40.6693,-0.437254,-1.44979,-0.0804734,6620.22,-3.03286,-227.202
-33.4724,191.816,-40.907,-0.467301,-1.44055,-0.0829295,6620.22,-3.03286,-227.202
-33.4153,189.257,-41.1109,-0.498461,-1.43168,-0.0857886,6620.22,-3.03286,-227.202
-33.4043,186.709,-41.2488,-0.530468,-1.4215,-0.0887252,6620.22,-3.03286,-227.202
-33.4596,184.179,-41.2841,-0.564588,-1.41076,-0.0905438,6620.22,-3.03286,-227.202
-33.5815,181.665,-41.2226,-0.600345,-1.40193,-0.0900504,6620.22,-3.03286,-227.202
-33.6175,205.073,-35.5397,-0.310619,-1.50158,-0.0536691,6620.22,-3.03286,-227.202
-33.6214,179.121,-41.2893,-0.632763,-1.39791,-0.0930024,6620.22,-3.03286,-227.202
-33.6826,202.564,-35.5518,-0.33175,-1.49298,-0.0612901,6620.22,-3.03286,-227.202
-32.732,147.41,-48.6258,-0.944255,-1.31199,-0.198981,6620.22,-3.03286,-227.202
-33.4024,173.948,-41.8534,-0.692121,-1.38232,-0.107021,6620.22,-3.03286,-227.202
-33.3851,171.379,-41.9992,-0.722803,-1.38121,-0.109477,6620.22,-3.03286,-227.202
-33.3756,168.817,-42.132,-0.751051,-1.37481,-0.115306,6620.22,-3.03286,-227.202
