x,y,z,u,v,w,time,DAQ_DAQCrossheadmm,DAQ_DAQForcekN
-34.0269,204.081,-47.488,-0.418174,-1.4928,-3.37533,6670.22,-3.83405,-298.767
-33.8003,198.945,-48.1864,-0.490398,-1.46451,-3.48267,6670.22,-3.83405,-298.767
-33.672,193.822,-48.7464,-0.574967,-1.43759,-3.57864,6670.22,-3.83405,-298.767
-33.6568,188.717,-49.1522,-0.669293,-1.41371,-3.67596,6670.22,-3.83405,-298.767
-33.7891,183.648,-49.3559,-0.77397,-1.38779,-3.78023,6670.22,-3.83405,-298.767
-33.9642,204.495,-42.967,-0.407937,-1.60777,-3.3315,6670.22,-3.83405,-298.767
-33.9349,201.97,-43.1808,-0.418564,-1.58686,-3.41123,6670.22,-3.83405,-298.767
-33.841,199.414,-43.4961,-0.449513,-1.57183,-3.46842,6670.22,-3.83405,-298.767
-33.7308,196.849,-43.8394,-0.484579,-1.55791,-3.52107,6670.22,-3.83405,-298.767
-33.6355,194.287,-44.1647,-0.519765,-1.5434,-3.57585,6670.22,-3.83405,-298.767
-33.5649,191.728,-44.4498,-0.559849,-1.52864,-3.62577,6670.22,-3.83405,-298.767
-33.5192,189.172,-44.7015,-0.60244,-1.51584,-3.67638,6670.22,-3.83405,-298.767
-33.5208,186.628,-44.8851,-0.646967,-1.50225,-3.72508,6670.22,-3.83405,-298.767
-33.5892,184.1,-44.9673,-0.694163,-1.49027,-3.77373,6670.22,-3.83405,-298.767
-33.7262,181.585,-44.9488,-0.745062,-1.48229,-3.81622,6670.22,-3.83405,-298.767
-33.711,204.856,-38.7904,-0.404178,-1.71925,-3.30436,6670.22,-3.83405,-298.767
-33.7839,179.043,-45.0586,-0.795292,-1.47581,-3.86234,6670.22,-3.83405,-298.767
-33.7304,202.37,-38.8952,-0.379533,-1.68738,-3.40473,6670.22,-3.83405,-298.767
6670.22,-3.83405,-298.767,,,,,,
-33.6009,173.88,-45.718,-0.890622,-1.45063,-3.97166,6670.22,-3.83405,-298.767
-33.6049,171.314,-45.9083,-0.942602,-1.44607,-4.01854,6670.22,-3.83405,-298.767
-33.6177,168.755,-46.0851,-0.9932,-1.4364,-4.06837,6670.22,-3.83405,-298.767
-33.6229,166.195,-46.2727,-1.04314,-1.42412,-4.1202,6670.22,-3.83405,-298.767
-33.6639,163.64,-46.4071,-1.09076,-1.41617,-4.17424,6670.22,-3.83405,-298.767
-33.7154,161.084,-46.5196,-1.13723,-1.41112,-4.22356,6670.22,-3.83405,-298.767
-33.6777,158.499,-46.7642,-1.18484,-1.40472,-4.27269,6670.22,-3.83405,-298.767
-33.5374,205.151,-34.5109,-0.481989,-1.89302,-3.14984,6670.22,-3.83405,-298.767
-33.3478,153.25,-47.6538,-1.2752,-1.38347,-4.38942,6670.22,-3.83405,-298.767
-33.4361,202.744,-34.7651,-0.343346,-1.78611,-3.39861,6670.22,-3.83405,-298.767
-33.6057,176.963,-40.8226,-0.753747,-1.56769,-3.90375,6670.22,-3.83405,-298.767
-33.1146,148.021,-48.3843,-1.36227,-1.3636,-4.49472,6670.22,-3.83405,-298.767
-33.0059,145.405,-48.7395,-1.40476,-1.35361,-4.55112,6670.22,-3.83405,-298.767
-33.4027,171.799,-41.5051,-0.841241,-1.54657,-4.01491,6670.22,-3.83405,-298.767
-33.5809,195.208,-35.026,-0.425691,-1.75717,-3.54979,6670.22,-3.83405,-298.767
-32.77,140.159,-49.4713,-1.49451,-1.33377,-4.65495,6670.22,-3.83405,-298.767
-32.643,137.533,-49.862,-1.53368,-1.32064,-4.72056,6670.22,-3.83405,-298.767
-33.4647,190.125,-35.5211,-0.485632,-1.72876,-3.65271,6670.22,-3.83405,-298.767
-33.478,164.149,-41.9533,-0.977648,-1.5182,-4.16616,6670.22,-3.83405,-298.767
-32.4212,132.27,-50.5869,-1.63,-1.30332,-4.82532,6670.22,-3.83405,-298.767
-33.5539,161.607,-42.0212,-1.02083,-1.51302,-4.21438,6670.22,-3.83405,-298.767
