x,y,z,u,v,w,time,DAQ_DAQCrossheadmm,DAQ_DAQForcekN
-34.0592,204.178,-49.1075,-0.450506,-1.39523,-4.99482,6686.22,-4.10326,-301.359
-33.8447,199.042,-49.8416,-0.534852,-1.36684,-5.13786,6686.22,-4.10326,-301.359
6686.22,-4.10326,-301.359,,,,,,
6686.22,-4.10326,-301.359,,,,,,
-33.8532,183.742,-51.1352,-0.838053,-1.29378,-5.55955,6686.22,-4.10326,-301.359
-34.011,204.543,-44.5649,-0.45475,-1.55938,-4.92942,6686.22,-4.10326,-301.359
-33.9696,202.03,-44.824,-0.45323,-1.52694,-5.05439,6686.22,-4.10326,-301.359
-33.878,199.476,-45.1619,-0.486479,-1.51018,-5.13423,6686.22,-4.10326,-301.359
-33.7716,196.912,-45.5251,-0.525308,-1.49501,-5.20673,6686.22,-4.10326,-301.359
-33.6788,194.35,-45.8733,-0.563117,-1.48019,-5.28454,6686.22,-4.10326,-301.359
-33.6127,191.793,-46.1787,-0.607626,-1.46378,-5.35466,6686.22,-4.10326,-301.359
-33.5692,189.239,-46.4543,-0.652355,-1.44959,-5.42919,6686.22,-4.10326,-301.359
-33.5744,186.694,-46.6593,-0.700652,-1.4366,-5.49929,6686.22,-4.10326,-301.359
-33.6452,184.165,-46.7637,-0.750208,-1.42528,-5.57015,6686.22,-4.10326,-301.359
-33.7833,181.649,-46.769,-0.802124,-1.41825,-5.63641,6686.22,-4.10326,-301.359
6686.22,-4.10326,-301.359,,,,,,
-33.8444,179.107,-46.9012,-0.855781,-1.41149,-5.7049,6686.22,-4.10326,-301.359
-33.7641,202.391,-40.5347,-0.413193,-1.66659,-5.04418,6686.22,-4.10326,-301.359
6686.22,-4.10326,-301.359,,,,,,
-33.6757,173.947,-47.6004,-0.965413,-1.38333,-5.85404,6686.22,-4.10326,-301.359
-33.6858,171.382,-47.8127,-1.02345,-1.37868,-5.92301,6686.22,-4.10326,-301.359
-33.7065,168.824,-48.0099,-1.08201,-1.36757,-5.99327,6686.22,-4.10326,-301.359
-33.7202,166.262,-48.2138,-1.14042,-1.35696,-6.06136,6686.22,-4.10326,-301.359
-33.7683,163.708,-48.3665,-1.1952,-1.34757,-6.13367,6686.22,-4.10326,-301.359
-33.8239,161.155,-48.5043,-1.2458,-1.33935,-6.20821,6686.22,-4.10326,-301.359
-33.7944,158.573,-48.7709,-1.30159,-1.33117,-6.27933,6686.22,-4.10326,-301.359
6686.22,-4.10326,-301.359,,,,,,
-33.492,153.329,-49.7011,-1.41938,-1.3045,-6.4368,6686.22,-4.10326,-301.359
-33.4701,202.728,-36.4007,-0.377398,-1.80254,-5.03424,6686.22,-4.10326,-301.359
-33.6665,176.991,-42.6819,-0.814578,-1.53981,-5.76306,6686.22,-4.10326,-301.359
-33.3081,148.093,-50.4532,-1.55581,-1.29133,-6.56359,6686.22,-4.10326,-301.359
-33.2126,145.483,-50.8388,-1.61144,-1.27582,-6.65052,6686.22,-4.10326,-301.359
